# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,15.0,-20.0,0.041697205122,0.159967428317,-0.850673729205,-0.016108654601,-0.085966142867,-0.026387902609
-45.0,15.0,-10.0,0.029997111158,0.063659921798,-0.9534379963,-0.006379754899,-0.074574065843,-0.006449118071
-45.0,15.0,0.0,0.018376081607,-0.044355655475,-1.046337646662,0.001086137605,-0.121673723794,0.023762867829
-45.0,15.0,10.0,0.04180956562,-0.151475403028,-1.066306622219,0.006959512278,-0.221084799107,0.053565871395
-45.0,15.0,20.0,0.06514234251,-0.252676843839,-1.053479206413,0.007520213054,-0.351241589132,0.077480215224
-45.0,20.0,-20.0,0.10000463589,0.14650620623,-1.134983482853,-0.010931682062,-0.145242928042,-0.025727910538
-45.0,20.0,-10.0,0.097407523319,0.04734496692,-1.254637366035,-0.003767504368,-0.123051690307,0.000306240275
-45.0,20.0,0.0,0.084236458226,-0.064447551429,-1.350895994025,0.002118420298,-0.160876021896,0.034477033978
-45.0,20.0,10.0,0.11313522337,-0.175166341104,-1.362576166762,0.007541431136,-0.262199488675,0.06811444827
-45.0,20.0,20.0,0.129435194227,-0.272793874708,-1.332875459756,0.010023222428,-0.399228174037,0.094896780414
-40.0,-20.0,-20.0,0.140506259623,0.255387517804,1.166986505471,-0.001921200947,0.355034998848,-0.085045268007
-40.0,-20.0,-10.0,0.143730659483,0.166104925421,1.177428865089,0.004459822007,0.20917062074,-0.064771179661
-40.0,-20.0,0.0,0.125020587886,0.070566013922,1.164080454867,0.006271031182,0.112803644254,-0.038484159899
-40.0,-20.0,10.0,0.127945034138,-0.022524062987,1.082423894566,0.007178574829,0.083232121614,-0.01285787508
-40.0,-20.0,20.0,0.109900871096,-0.097620317984,0.988138792277,0.005234767336,0.117089826804,0.000434349866
-40.0,-15.0,-20.0,0.075007912949,0.236590788152,0.874163591783,-0.004590847657,0.293062400423,-0.068016104209
-40.0,-15.0,-10.0,0.067772985795,0.142831011218,0.868728321557,0.00327674777,0.154902794664,-0.049767769123
-40.0,-15.0,0.0,0.051850266827,0.049860873301,0.846573960563,0.004518690381,0.06092328214,-0.026980479947
-40.0,-15.0,10.0,0.055274308723,-0.035352075564,0.773545213403,0.00183227439,0.029700644346,-0.008071126172
-40.0,-15.0,20.0,0.048848353879,-0.112895924677,0.68983446366,-0.000733377169,0.046373751104,0.002376950767
