# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
-40.0,-20.0,0.085679799643,0.001684373833,-0.018639951839,0.00404042958,-0.03474837233,0.001561415424,0.014356357521
-40.0,-15.0,-0.085679799643,0.002523266575,0.013227767911,0.004949450996,0.030741843995,0.001699657972,-0.010291685044
-40.0,-15.0,-0.042839899822,0.000711441871,0.00640848543,0.001303858393,0.015372891137,0.000295162892,-0.005028835905
-40.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-15.0,0.042839899822,0.000389073619,-0.006095711242,0.000975275234,-0.015443822629,0.000739053481,0.004855098476
-40.0,-15.0,0.085679799643,0.00190226775,-0.011860930383,0.004285460507,-0.03106257443,0.002613387682,0.009535418711
-40.0,-10.0,-0.085679799643,0.002111248046,0.009261722479,0.004528885641,0.02744883543,0.003076273257,-0.006978108725
-40.0,-10.0,-0.042839899822,0.000588436153,0.004410174278,0.001417857567,0.01371909711,0.00109696125,-0.003369294149
-40.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-10.0,0.042839899822,0.000304426802,-0.004482102552,-0.00020866348,-0.013672140749,-0.00085879775,0.003402548548
-40.0,-10.0,0.085679799643,0.001571559892,-0.008283504284,0.001532986956,-0.027571094377,-0.000463768466,0.006452761739
-40.0,-5.0,-0.085679799643,0.001761534836,0.005037181017,0.003896480144,0.025607069494,0.003629213174,-0.003539175036
-40.0,-5.0,-0.042839899822,0.000475437386,0.00248729717,0.001616467737,0.012758580916,0.001705853905,-0.001749953524
-40.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-5.0,0.042839899822,0.000342370854,-0.002194228264,-0.000721078283,-0.012796561389,-0.001193556887,0.001598047815
-40.0,-5.0,0.085679799643,0.001489228707,-0.004469552643,-0.000919237576,-0.025651419973,-0.002342836301,0.003235288233
-40.0,0.0,-0.085679799643,0.001568638979,-0.001241689532,0.000963536415,0.025115844515,0.001413549355,0.000888447372
-40.0,0.0,-0.042839899822,0.000396460169,-0.000604535937,0.00055023542,0.012515570595,0.000761416486,0.000435795496
-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,0.0,0.042839899822,0.000375904892,0.000574010618,-0.000695475755,-0.012517300424,-0.000882384365,-0.000420003654
-40.0,0.0,0.085679799643,0.00152654675,0.001119772953,-0.001546124774,-0.02512389659,-0.001899893799,-0.000825408976
-40.0,5.0,-0.085679799643,0.001670582571,-0.00889727309,-0.003865226997,0.025572067015,-0.003148020778,0.006012000285
-40.0,5.0,-0.042839899822,0.000436686416,-0.004541893028,-0.001725533659,0.01271020992,-0.001684634395,0.003046973648
-40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,5.0,0.042839899822,0.000406862644,0.003601364186,-0.000577242456,-0.012892527876,-0.00045434688,-0.002576497082
-40.0,5.0,0.085679799643,0.001610459646,0.007463509639,-0.001507190189,-0.025796220081,-0.00062176179,-0.005278504595
-40.0,10.0,-0.085679799643,0.00197110185,-0.012762271543,-0.002453953567,0.027731249001,-0.00021148114,0.009309129311
-40.0,10.0,-0.042839899822,0.000521859801,-0.006202677104,-0.000216410469,0.013865858344,0.000487490501,0.004557095478
-40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,10.0,0.042839899822,0.000473131684,0.005423416611,-0.002691629054,-0.014145899274,-0.002911545956,-0.004149437393
-40.0,10.0,0.085679799643,0.001821241567,0.011116802277,-0.006320180819,-0.02825636087,-0.005580860603,-0.008436543573
-40.0,15.0,-0.085679799643,0.002197531052,-0.017786393053,-0.001767057184,0.031385290965,0.002961878001,0.013191159836
-40.0,15.0,-0.042839899822,0.000554828281,-0.008771050674,0.000359878543,0.015684888361,0.002065418089,0.006525456052
-40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,15.0,0.042839899822,0.000565755371,0.008390115242,-0.003185327305,-0.015857060742,-0.003763681763,-0.006319067143
-40.0,15.0,0.085679799643,0.002170378366,0.016776371842,-0.008480391687,-0.03177622721,-0.008160431939,-0.012635233412
-40.0,20.0,-0.085679799643,0.002887107545,-0.024717218944,-0.004145006978,0.035177320584,0.001593458644,0.018154043204
-40.0,20.0,-0.042839899822,0.000820873582,-0.012265746242,-0.000585462149,0.017549174023,0.001344458376,0.009021120547
-40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,20.0,0.042839899822,0.000423604253,0.012118707297,-0.002397272659,-0.017557015335,-0.002452734098,-0.008939459025
-40.0,20.0,0.085679799643,0.002094903965,0.024128536485,-0.00778557286,-0.03520878293,-0.006028833062,-0.017827176259
-35.0,-20.0,-0.085679799643,0.003213226614,0.019186737472,0.006788492186,0.034785568649,0.002087130834,-0.014735571212
-35.0,-20.0,-0.042839899822,0.000990226624,0.009417595868,0.001925214528,0.017388262281,0.000422235594,-0.007259148661
-35.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-20.0,0.042839899822,0.000200394326,-0.009712128427,0.000371255923,-0.017198232614,-0.000206100693,0.007425456766
-35.0,-20.0,0.085679799643,0.001637770256,-0.01927583471,0.003560077643,-0.034493430374,0.000628564079,0.014770580581
-35.0,-15.0,-0.085679799643,0.002423133956,0.012975441831,0.004477042989,0.03088097035,0.00103539106,-0.010176163513
-35.0,-15.0,-0.042839899822,0.000654679301,0.006300367319,0.001043959287,0.015445443572,-7.6488913e-05,-0.00498185558
-35.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-15.0,0.042839899822,0.000588157594,-0.00523021086,0.002209345638,-0.015811571125,0.002576325805,0.00440618316
-35.0,-15.0,0.085679799643,0.002033452029,-0.011481154231,0.005157454783,-0.031310495536,0.003913948198,0.009352745026
-35.0,-10.0,-0.085679799643,0.002086716193,0.008822402879,0.004209246935,0.027512080934,0.002693167691,-0.006761497626
-35.0,-10.0,-0.042839899822,0.000557860666,0.004006410732,0.001006624228,0.013808224283,0.000561598414,-0.003164614239
-35.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
