# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-40.0,-20.0,0.009519977738,0.000452907218,0.001315751774,0.002161347454,-0.001711185486,0.002652981645,-0.001101622335
-40.0,-15.0,-0.009519977738,-0.000374035763,-0.001773656954,-0.002664297104,0.001486984981,-0.003517816586,0.001356977187
-40.0,-15.0,-0.004759988869,-0.000189848949,-0.000892150543,-0.001338534574,0.000745942531,-0.001766047925,0.000681180039
-40.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-15.0,0.004759988869,0.000195585513,0.000902993487,0.001351637298,-0.000750881053,0.001780809936,-0.000686652972
-40.0,-15.0,0.009519977738,0.000396960051,0.001816944765,0.002716612404,-0.001506709976,0.003576724179,-0.001378824704
-40.0,-10.0,-0.009519977738,-0.000231327492,-0.001428429737,-0.002392852399,0.000941011731,-0.003178400132,0.001183783868
-40.0,-10.0,-0.004759988869,-0.000113826005,-0.000684273392,-0.001164577432,0.000463533042,-0.001545267684,0.00057598323
-40.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-10.0,0.004759988869,0.000127264896,0.000799856839,0.001278060958,-0.000494345513,0.001696548911,-0.000636053383
-40.0,-10.0,0.009519977738,0.000263219971,0.001651747754,0.002608362343,-0.001004085688,0.003462129646,-0.001299009249
-40.0,-5.0,-0.009519977738,-0.00014594539,-0.00174731238,-0.002721857832,0.000503355021,-0.003623398683,0.001354330528
-40.0,-5.0,-0.004759988869,-7.5083071e-05,-0.000879015723,-0.00136595249,0.000253994902,-0.001818343454,0.00067977863
-40.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,-5.0,0.004759988869,7.9372431e-05,0.000889818704,0.001376162713,-0.00025865508,0.001831908978,-0.00068503683
-40.0,-5.0,0.009519977738,0.00016307106,0.001789855297,0.002762051767,-0.000521877663,0.003676790649,-0.001375028128
-40.0,0.0,-0.009519977738,-1.171385e-05,-0.001688111536,-0.002694753035,-8.2357178e-05,-0.00357760329,0.001327888777
-40.0,0.0,-0.004759988869,-7.554957e-06,-0.000846138507,-0.001348052892,-3.935682e-05,-0.0017905944,0.000664915079
-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
