# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,10.0,10.0,-0.012413878804,-0.04461377827,-0.05410698797,-0.006120153561,-0.072968584799,0.024225638076
-45.0,-20.0,10.0,20.0,-0.035673446868,-0.081521356521,-0.096818815034,-0.011253664453,-0.130807394935,0.044432267873
-45.0,-20.0,10.0,30.0,-0.062545505736,-0.109499520826,-0.127803998725,-0.015311134264,-0.17293678093,0.05986814438
-45.0,-20.0,20.0,-30.0,-0.053390859259,0.091259080362,0.148943734603,0.019933049078,0.19906877331,-0.047155903909
-45.0,-20.0,20.0,-20.0,-0.028983291897,0.070741675344,0.110050782523,0.014328868089,0.147327294648,-0.036787942389
-45.0,-20.0,20.0,-10.0,-0.008823231943,0.040446450824,0.059809689275,0.007565601969,0.080223421213,-0.02118052511
-45.0,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,20.0,10.0,-0.014610932727,-0.045282286016,-0.05697260108,-0.007280024244,-0.076953355195,0.024063797615
-45.0,-20.0,20.0,20.0,-0.03976663491,-0.084445173637,-0.103125302569,-0.013294095875,-0.139604094188,0.045071741054
-45.0,-20.0,20.0,30.0,-0.068211585316,-0.11527355214,-0.137497605483,-0.017986962111,-0.186497523585,0.061728840318
-45.0,-15.0,-20.0,-30.0,-0.088222309693,0.165442478279,0.165184932926,-0.005364090308,0.227214528384,-0.088464239279
-45.0,-15.0,-20.0,-20.0,-0.052788492395,0.119278331376,0.119733613888,-0.003948849542,0.164809343993,-0.063888011545
-45.0,-15.0,-20.0,-10.0,-0.020694739853,0.06274753231,0.063372447993,-0.002145681254,0.087298386344,-0.033685614908
-45.0,-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,-20.0,10.0,-0.005011918703,-0.054987463602,-0.058285196063,0.002177194094,-0.080698590615,0.029771156231
-45.0,-15.0,-20.0,20.0,-0.022201591073,-0.095317279214,-0.102078862888,0.004060297699,-0.141448537111,0.051806805505
-45.0,-15.0,-20.0,30.0,-0.044330763782,-0.122366071573,-0.132448546164,0.005582115003,-0.183677260524,0.066753478707
-45.0,-15.0,-10.0,-30.0,-0.081343102479,0.135019441565,0.14210240314,0.001839189919,0.190939383796,-0.073469951579
-45.0,-15.0,-10.0,-20.0,-0.048195109543,0.098515983462,0.103682097903,0.001327986404,0.139564058956,-0.053692748653
-45.0,-15.0,-10.0,-10.0,-0.018466555439,0.052587437884,0.055344824422,0.000708151362,0.074648066986,-0.02872596434
-45.0,-15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,-10.0,10.0,-0.00671218865,-0.048431465981,-0.051294925422,-0.000688843912,-0.069690667417,0.026708644363
-45.0,-15.0,-10.0,20.0,-0.025352664514,-0.085304585913,-0.090475102275,-0.001288663655,-0.123102432889,0.047247144093
-45.0,-15.0,-10.0,30.0,-0.048673729043,-0.111080770463,-0.118005671015,-0.001778601601,-0.160765686032,0.061772969592
-45.0,-15.0,0.0,-30.0,-0.07096798251,0.10722491938,0.13185583657,0.01002920888,0.175264179914,-0.058442294254
-45.0,-15.0,0.0,-20.0,-0.041053050117,0.079776579563,0.096769276693,0.007280131232,0.12893855973,-0.043558400864
-45.0,-15.0,0.0,-10.0,-0.01486648368,0.043570562369,0.052072474186,0.003891702468,0.069578668807,-0.023846931932
-45.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,0.0,10.0,-0.009663502114,-0.043228945046,-0.048415740752,-0.003825635099,-0.065191701716,0.02389243006
-45.0,-15.0,0.0,20.0,-0.030808053187,-0.07777488851,-0.086099572212,-0.007067666928,-0.116196576111,0.043156315759
-45.0,-15.0,0.0,30.0,-0.056134881452,-0.103121513686,-0.112995462103,-0.009648973252,-0.152779776123,0.057427111049
-45.0,-15.0,10.0,-30.0,-0.062799446933,0.107264359048,0.139225600613,0.012870288509,0.18557653734,-0.057659382277
-45.0,-15.0,10.0,-20.0,-0.035400716498,0.081078699322,0.103192436787,0.009272198469,0.137925894995,-0.043686959678
-45.0,-15.0,10.0,-10.0,-0.01201928911,0.045148039836,0.056242266136,0.004910429225,0.075407765196,-0.024400699306
-45.0,-15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,10.0,10.0,-0.012607137834,-0.046900010349,-0.054899022927,-0.004740286429,-0.074453282959,0.02554033753
-45.0,-15.0,10.0,20.0,-0.036284210836,-0.086075164706,-0.099472356356,-0.00869484988,-0.135294217757,0.047030408617
-45.0,-15.0,10.0,30.0,-0.063722837915,-0.116026391751,-0.132774440475,-0.011807302574,-0.181041440317,0.063569108494
-45.0,-15.0,20.0,-30.0,-0.05363150274,0.089175306555,0.142720292882,0.018984151693,0.190943034786,-0.046311299198
-45.0,-15.0,20.0,-20.0,-0.028993560848,0.069628418772,0.106140104837,0.013639384112,0.142390912927,-0.036363771129
-45.0,-15.0,20.0,-10.0,-0.008699597065,0.040130659577,0.05816492085,0.007195042843,0.078290548311,-0.021085001747
-45.0,-15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
