# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-15.0,-10.0,-10.0,-0.023881651786,-0.005035039423,-0.028498072143,0.036901241987,0.007935578667,0.00063470041
-45.0,-15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,-10.0,10.0,-0.010592572315,0.009947010606,0.03557330753,-0.036884359886,-0.004395740806,-0.001173657977
-45.0,-15.0,-10.0,20.0,-0.029197217592,0.020400033634,0.068333055619,-0.068244719826,-0.006800167973,-0.002902989072
-45.0,-15.0,-10.0,30.0,-0.052131126259,0.03074364743,0.095806601386,-0.093308668276,-0.008081080192,-0.005089714842
-45.0,-15.0,0.0,-30.0,-0.070796464744,-0.014777600817,0.017301332264,0.094817521102,0.013635197147,-0.000643297728
-45.0,-15.0,0.0,-20.0,-0.042843611906,-0.011174782728,0.008954170855,0.06944769325,0.0062011656,-0.000352780352
-45.0,-15.0,0.0,-10.0,-0.017926516577,-0.006201446272,0.002753087814,0.037573051084,0.001535345897,-0.000132066626
-45.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,0.0,10.0,-0.016732804976,0.006411985199,0.00444232398,-0.037597174607,0.001581967212,5.2826654e-05
-45.0,-15.0,0.0,20.0,-0.04074049596,0.01215424717,0.01014357048,-0.069529930234,0.003549233923,-0.000113222329
-45.0,-15.0,0.0,30.0,-0.068112147997,0.016866883232,0.015433527816,-0.094961000163,0.005083199133,-0.000390676872
-45.0,-15.0,10.0,-30.0,-0.052562421722,-0.028567898524,0.097620987472,0.092047622892,-0.000642873334,0.003372286372
-45.0,-15.0,10.0,-20.0,-0.029551190809,-0.020382380586,0.068065550533,0.067353079683,-0.003511595968,0.002503521516
-45.0,-15.0,10.0,-10.0,-0.010793028615,-0.010630951221,0.034855929383,0.036412969979,-0.003372085071,0.001336034411
-45.0,-15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,10.0,10.0,-0.023674065689,0.006185347435,-0.028502082062,-0.036405318869,0.005766572156,-0.000972366237
-45.0,-15.0,10.0,20.0,-0.053551197771,0.010183435716,-0.051455682541,-0.067323273594,0.011127411408,-0.001559301998
-45.0,-15.0,10.0,30.0,-0.085513872469,0.011989743332,-0.069518435567,-0.091954926076,0.015334189701,-0.001690419483
-45.0,-15.0,20.0,-30.0,-0.026217518196,-0.035646050448,0.176091031035,0.082655557637,0.002841895569,0.005346755038
-45.0,-15.0,20.0,-20.0,-0.010352822391,-0.025080535369,0.125391649875,0.060543450654,-0.001372191122,0.004060536563
-45.0,-15.0,20.0,-10.0,-0.000509666785,-0.012819282397,0.065804363594,0.032771910274,-0.002510434328,0.002192321448
-45.0,-15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,20.0,10.0,-0.033058685478,0.00402245703,-0.059881434071,-0.032806214385,0.006048311771,-0.001381204595
-45.0,-15.0,20.0,20.0,-0.070751278295,0.004789567585,-0.110111544107,-0.060681661076,0.012372073007,-0.001923401573
-45.0,-15.0,20.0,30.0,-0.10873173271,0.00260268544,-0.150408618371,-0.082899163034,0.018030927057,-0.001560713449
-45.0,-10.0,-20.0,-30.0,-0.09410088831,0.001616263695,-0.145490269148,0.079909386037,0.052150915639,0.004008776196
-45.0,-10.0,-20.0,-20.0,-0.060163290393,0.000332251375,-0.108601004494,0.058346175799,0.034301330084,0.002552683179
-45.0,-10.0,-20.0,-10.0,-0.027486870478,-0.000456682092,-0.059812133418,0.031482868017,0.016657709475,0.001262374143
-45.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,-20.0,10.0,-0.005981320319,0.00953331964,0.06397307663,-0.031438194902,-0.013915637734,-0.002150349938
-45.0,-10.0,-20.0,20.0,-0.019923733411,0.021146805354,0.120313113147,-0.058165563651,-0.024327470474,-0.005140018017
-45.0,-10.0,-20.0,30.0,-0.038531863901,0.034079136037,0.166496567721,-0.079584545137,-0.031719513627,-0.008874957831
-45.0,-10.0,-10.0,-30.0,-0.079552060506,0.000380674209,-0.07134696427,0.086383697404,0.033165586101,-0.000786877319
-45.0,-10.0,-10.0,-20.0,-0.049515273114,-2.8488873e-05,-0.054668653836,0.063177118086,0.021091145859,-0.000900358838
-45.0,-10.0,-10.0,-10.0,-0.021699441699,-0.000245953867,-0.030884920529,0.034131441968,0.009860893812,-0.000628076363
-45.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,-10.0,10.0,-0.012552843646,0.004758455898,0.035604387018,-0.034073159653,-0.007492853866,0.000333086986
-45.0,-10.0,-10.0,20.0,-0.032470257594,0.010472529732,0.067547968044,-0.062981195438,-0.013048897987,0.000107103188
-45.0,-10.0,-10.0,30.0,-0.056138658581,0.016820369747,0.093882588143,-0.086031898383,-0.017166667243,-0.000717715802
-45.0,-10.0,0.0,-30.0,-0.069281147882,-0.007708086348,0.013677938415,0.089101070824,0.012566009276,-0.001267563352
-45.0,-10.0,0.0,-20.0,-0.041918005134,-0.005509013916,0.007591681878,0.065210990194,0.006750170579,-0.001061562397
-45.0,-10.0,0.0,-10.0,-0.0175412433,-0.002894311563,0.002764238292,0.0352558448,0.002504256926,-0.000642965182
-45.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,0.0,10.0,-0.017081395077,0.002723875184,0.0018996975,-0.035226948092,-0.000663683903,0.000770195706
-45.0,-10.0,0.0,20.0,-0.04110354519,0.005051057442,0.004586074798,-0.065100694017,-0.001094798422,0.0013903311
-45.0,-10.0,0.0,30.0,-0.068235989404,0.006890852808,0.007025600798,-0.088867241118,-0.001735721445,0.001854256345
-45.0,-10.0,10.0,-30.0,-0.054872523645,-0.021924371257,0.1005236148,0.085976950999,-0.003484059885,0.002706887675
-45.0,-10.0,10.0,-20.0,-0.031453053306,-0.015330044038,0.071194376489,0.062894286146,-0.004620961689,0.001932772141
-45.0,-10.0,10.0,-10.0,-0.011945180654,-0.007835738197,0.037135169939,0.033998413617,-0.003480824624,0.001002371754
-45.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,10.0,10.0,-0.022387491695,0.003340616119,-0.032929842679,-0.034000117522,0.004943851611,-0.000619190778
-45.0,-10.0,10.0,20.0,-0.050904788818,0.004961767638,-0.060367762806,-0.062887456472,0.009133995221,-0.00091842461
-45.0,-10.0,10.0,30.0,-0.081590582381,0.004961678015,-0.082382900436,-0.085932315841,0.012064999736,-0.000847397429
