# AeroScout
parameter,independent variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-15.0,-20.0,-20.0,-0.008298473245,-0.060948705977,0.002656580255,-0.002946070424,0.010168451611,0.026933287382
-15.0,-20.0,-10.0,-0.001790456121,-0.028767869313,0.001484362741,-0.001404777662,0.004390785584,0.012778621658
-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-20.0,10.0,-0.004640746336,0.030477482325,-0.001261896119,0.0015090272,-0.000937758505,-0.013567386569
-15.0,-20.0,20.0,-0.014860765673,0.068191180381,-0.00335240984,0.00338418079,-0.001328393058,-0.030287058984
-15.0,-20.0,30.0,-0.02918880883,0.104104097463,-0.005750617309,0.005173470252,-0.00058036392,-0.046415278961
-15.0,-10.0,-30.0,-0.020685583543,-0.083232116334,0.000475700889,-0.00405893563,0.010468121751,0.037023294936
-15.0,-10.0,-20.0,-0.009461938271,-0.056720662419,0.000860987045,-0.002786865924,0.006349775571,0.025169081912
-15.0,-10.0,-10.0,-0.002287446473,-0.0264324819,0.000694807436,-0.001307250894,0.002716711221,0.011780765913
-15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-10.0,10.0,-0.00395332792,0.027259462683,-0.000488556449,0.001356791865,0.000592132839,-0.01216118906
-15.0,-10.0,20.0,-0.013264567795,0.060228770555,-0.001727465552,0.002995048109,0.001782388588,-0.026788456533
-15.0,-10.0,30.0,-0.026628535603,0.090875191684,-0.003403353341,0.004511510266,0.003748059922,-0.040560782425
-15.0,0.0,-30.0,-0.023553842399,-0.084420911899,-0.001669537093,-0.004168214383,0.006509051032,0.037677568252
-15.0,0.0,-20.0,-0.011304591234,-0.056724632416,-0.000525177269,-0.002813121125,0.003792317221,0.025239021829
-15.0,0.0,-10.0,-0.003096562292,-0.026049061249,8.3626703e-05,-0.001296576976,0.001591027719,0.01163337932
-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,0.0,10.0,-0.003096562292,0.026049061249,8.3626703e-05,0.001296576976,0.001591027719,-0.01163337932
-15.0,0.0,20.0,-0.011304591234,0.056724632416,-0.000525177269,0.002813121125,0.003792317221,-0.025239021829
-15.0,0.0,30.0,-0.023553842399,0.084420911899,-0.001669537093,0.004168214383,0.006509051032,-0.037677568252
-15.0,10.0,-30.0,-0.026628535603,-0.090875191684,-0.003403353341,-0.004511510266,0.003748059922,0.040560782425
-15.0,10.0,-20.0,-0.013264567795,-0.060228770555,-0.001727465552,-0.002995048109,0.001782388588,0.026788456533
-15.0,10.0,-10.0,-0.00395332792,-0.027259462683,-0.000488556449,-0.001356791865,0.000592132839,0.01216118906
-15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,10.0,10.0,-0.002287446473,0.0264324819,0.000694807436,0.001307250894,0.002716711221,-0.011780765913
-15.0,10.0,20.0,-0.009461938271,0.056720662419,0.000860987045,0.002786865924,0.006349775571,-0.025169081912
-15.0,10.0,30.0,-0.020685583543,0.083232116334,0.000475700889,0.00405893563,0.010468121751,-0.037023294936
-15.0,20.0,-30.0,-0.02918880883,-0.104104097463,-0.005750617309,-0.005173470252,-0.00058036392,0.046415278961
-15.0,20.0,-20.0,-0.014860765673,-0.068191180381,-0.00335240984,-0.00338418079,-0.001328393058,0.030287058984
-15.0,20.0,-10.0,-0.004640746336,-0.030477482325,-0.001261896119,-0.0015090272,-0.000937758505,0.013567386569
-15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,20.0,10.0,-0.001790456121,0.028767869313,0.001484362741,0.001404777662,0.004390785584,-0.012778621658
-15.0,20.0,20.0,-0.008298473245,0.060948705977,0.002656580255,0.002946070424,0.010168451611,-0.026933287382
-15.0,20.0,30.0,-0.01885102073,0.088328717715,0.003256072652,0.004221199325,0.016399620449,-0.039089840519
-10.0,-20.0,-30.0,-0.021553806119,-0.093576359404,0.009906314428,-0.004128493389,0.032921197143,0.041515648714
-10.0,-20.0,-20.0,-0.01010221672,-0.064435328585,0.007206753193,-0.002883340683,0.021473285045,0.028548963914
-10.0,-20.0,-10.0,-0.002622160786,-0.030356075034,0.003607832991,-0.001375983047,0.009669431042,0.013518581719
-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,-20.0,10.0,-0.0039700592,0.03217117434,-0.003692775548,0.00148839486,-0.00692221918,-0.014349194359
-10.0,-20.0,20.0,-0.013355092519,0.071950355026,-0.008792531886,0.00334318877,-0.014739482003,-0.032007047138
-10.0,-20.0,30.0,-0.026901005393,0.10983889985,-0.014094467529,0.005120215749,-0.021169366579,-0.049022354079
-10.0,-10.0,-30.0,-0.021900949786,-0.089037515395,0.003457541846,-0.004115564158,0.017950245922,0.039615608533
-10.0,-10.0,-20.0,-0.010266716199,-0.0605585015,0.002963579957,-0.002822410231,0.011616893236,0.026887898265
-10.0,-10.0,-10.0,-0.00265977786,-0.02817378578,0.001701913233,-0.001322835905,0.005238173562,0.01256477136
-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,-10.0,10.0,-0.003752376117,0.02905583572,-0.00177846865,0.001376675932,-0.002563596301,-0.01296647791
-10.0,-10.0,20.0,-0.012803276613,0.064206451012,-0.004663565696,0.003042177469,-0.005408512532,-0.028558183082
-10.0,-10.0,30.0,-0.025929631146,0.096928119471,-0.007983859252,0.004589272867,-0.007474790073,-0.043239207782
-10.0,0.0,-30.0,-0.023840447956,-0.09057579476,-0.002474058398,-0.00428217644,0.004649047369,0.040418139063
