# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:12:58
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666666664,-10.0,10.0,-0.006274995475048992,-0.0363751848946192,0.0011781210867700675,-0.0018225102457461,0.005279839077953999,0.01802701049993328
-16.666666666666664,-10.0,15.0,-0.005492584055706989,-0.034014292895252506,0.0007143379525300642,-0.0017501002723514028,0.003674962939597959,0.01705919191036923
-16.666666666666664,-10.0,20.0,-0.004937007314258002,-0.030999542143260304,0.0001145907524400247,-0.0016347011457888,0.0017885662998370355,0.01576871907034877
-16.666666666666664,0.0,-20.0,-0.007255496031168984,-0.04173289572370885,0.0009274151578200218,-0.002327373206962665,0.00542838300432702,0.019795938957190784
-16.666666666666664,0.0,-15.0,-0.007320202493231981,-0.04310602075243155,0.0007456979128299679,-0.002164534305745195,0.004997042134248952,0.0204761818278496
-16.666666666666664,0.0,-10.0,-0.0073721594074726005,-0.04353633710043651,0.0007238847573950435,-0.0020467781310176915,0.004973729346244987,0.020778296340386294
-16.666666666666664,0.0,-5.0,-0.00744148900764708,-0.042816882760153406,0.0007680150904509908,-0.001971422881902897,0.005121273884677979,0.020579338939359208
-16.666666666666664,0.0,0.0,-0.007465911782244601,-0.039525782024053935,0.0007315798561919884,-0.001840557426814866,0.005049369919448002,0.019243776328564367
-16.666666666666664,0.0,5.0,-0.0074971450307542015,-0.03796904890778794,0.0006649346942999568,-0.0017447440423935957,0.00490435937312484,0.01865250553460062
-16.666666666666664,0.0,10.0,-0.007481635373062803,-0.036011117286179346,0.0006511791264298683,-0.0017372978985014922,0.004902823240663989,0.017884376488975614
-16.666666666666664,0.0,15.0,-0.007398416634217003,-0.033128087366972835,0.0005328057883700055,-0.0016518367914441425,0.0045982330445030195,0.016672491451743616
-16.666666666666664,0.0,20.0,-0.007230997182395005,-0.02986665134144133,0.0003664786717501034,-0.0015372171612459537,0.004142100165235085,0.015265523709328602
-16.666666666666664,10.0,-20.0,-0.007906566034430018,-0.043281185916172,-7.57192522700123e-05,-0.0024850130941,0.002766240507000972,0.020505331185222905
-16.666666666666664,10.0,-15.0,-0.007686401950331018,-0.04459095875690601,-0.000800948286121983,-0.0023239737376146985,0.0009073181646250261,0.021161865575399702
-16.666666666666664,10.0,-10.0,-0.007719727335630602,-0.044930267135271,-0.0012324888091460595,-0.002211538362790099,-0.00011877159456399888,0.021414983964883803
-16.666666666666664,10.0,-5.0,-0.0075670313922991,-0.04425446286699629,-0.0011869524603720094,-0.002133706077474099,0.0001529488796500056,0.0212430290608129
-16.666666666666664,10.0,0.0,-0.0079570482086867,-0.042403220273619216,-0.0006576373271909852,-0.0020468121930052804,0.001770166488676006,0.02051967309041483
-16.666666666666664,10.0,5.0,-0.0083706401605919,-0.040141631442036294,-7.813513938093042e-05,-0.0019891629942551878,0.0036185884708875987,0.01961190413756181
-16.666666666666664,10.0,10.0,-0.008751132577422091,-0.03828181722983759,0.0004256726204099337,-0.001969960165331101,0.005310031993743997,0.0188902829286803
-16.666666666666664,10.0,15.0,-0.009288492914418994,-0.0359614022281672,0.00067118134305999,-0.0019046038695272015,0.006367146630280984,0.017939845262064002
-16.666666666666664,10.0,20.0,-0.00961884710923,-0.032894236259766396,0.0008215473535599926,-0.0017898700411357014,0.007052547093433947,0.0166255083379005
-16.666666666666664,20.0,-20.0,-0.008656780211957982,-0.046784892923901006,-0.0004072662119698478,-0.002832096530903605,0.0019053524466939864,0.0220975758407691
-16.666666666666664,20.0,-15.0,-0.008192800319019977,-0.04824076685082701,-0.0017770481351279122,-0.0026572471903678965,-0.0016263297233949925,0.022834909707960593
-16.666666666666664,20.0,-10.0,-0.0079378565860121,-0.048745116321422005,-0.0030934016332390124,-0.0025337758045418032,-0.004818049400105995,0.0231808891713801
-16.666666666666664,20.0,-5.0,-0.00800358742846066,-0.048051096740599014,-0.003272894293586015,-0.002407694670941804,-0.005012293731184975,0.022991900860125397
-16.666666666666664,20.0,0.0,-0.00884662959388895,-0.046645754784245985,-0.002397000440467978,-0.0023755221270147005,-0.0023038867826849913,0.022417573220250404
-16.666666666666664,20.0,5.0,-0.009728064155999097,-0.045188027657874996,-0.0014818524959039348,-0.002380967887431273,0.0008272197019486005,0.021829293718074398
-16.666666666666664,20.0,10.0,-0.010323331281372403,-0.043393110678212,-0.00019374518271009222,-0.002376365812988699,0.004829149739755012,0.021145593030355698
-16.666666666666664,20.0,15.0,-0.01098370468811699,-0.041560568387152996,0.00042825882086994227,-0.002325968271807699,0.007133382267208999,0.020432473928698
-16.666666666666664,20.0,20.0,-0.011725412154683035,-0.03921976088929799,0.0010957001954401413,-0.0022577693957309963,0.009455722276322964,0.0194566657199925
-8.333333333333332,-20.0,-20.0,-0.0018870821753459999,-0.02305752728225502,0.0014026209532000955,-0.0013988157464906031,0.004721039111848957,0.010881287610192802
-8.333333333333332,-20.0,-15.0,-0.0022247387367609894,-0.023807491339147002,0.00192000511384105,-0.0012991909704754001,0.006095647007060001,0.011259072954467202
-8.333333333333332,-20.0,-10.0,-0.002415399082995498,-0.02399902366610701,0.0024365595678209617,-0.0012253942291340011,0.007364689516065004,0.011406102673497603
-8.333333333333332,-20.0,-5.0,-0.0024603236345364012,-0.023599321381396005,0.0024781918605160103,-0.0011507682533977992,0.007356573553310014,0.011290745268069901
-8.333333333333332,-20.0,0.0,-0.00204105436753953,-0.022886409179253997,0.0019709630935599853,-0.0011296518335249996,0.005829650529586006,0.011001057688214
-8.333333333333332,-20.0,5.0,-0.0015987080564993997,-0.022151090360045006,0.0014658791582089492,-0.0011313396973028698,0.004151871951668003,0.010706610353093891
-8.333333333333332,-20.0,10.0,-0.0012735628167130086,-0.021241863959399004,0.0007130473619099131,-0.0011272441228545003,0.0018758534211760075,0.0103639199702159
-8.333333333333332,-20.0,15.0,-0.0008200277855489879,-0.020367853736689007,0.00025706213588994054,-0.0010986319878689005,0.00033751919180302625,0.010029111930229002
-8.333333333333332,-20.0,20.0,-0.0003915069049180153,-0.019111213092984997,-0.00021213170153999705,-0.0010627168937872022,-0.0011834710566789863,0.009505347080327298
-8.333333333333332,-10.0,-20.0,-0.0022841505912290505,-0.022128529887443696,0.001067699089480012,-0.0012681500294714002,0.003887021960556014,0.010455074235419899
-8.333333333333332,-10.0,-15.0,-0.002462669808107998,-0.022782755766384388,0.0012590060629190658,-0.001179345047478901,0.004405655537474018,0.010783332340057501
