# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:18:13
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-6.666666666666666,-10.0,0.0,-0.009873155726720402,0.0110259790459762,-9.764866051298338e-05,0.04206766247625216,0.04018731119434901,-0.00398803923030914
-6.666666666666666,-10.0,5.0,-0.0085809512541288,0.014135820088308299,-0.003645399680790029,0.04292928160088822,0.0337324442051537,-0.00457842310753375
-6.666666666666666,-10.0,10.0,-0.007684489920478196,0.013922258490026498,-0.006556661868609925,0.0438628059031399,0.0278651369523904,-0.0035978659343253
-6.666666666666666,-10.0,15.0,-0.006758068839069986,0.012807078269889291,-0.008670765037469996,0.045008851757164,0.023124095507934983,-0.0020919842801430007
-6.666666666666666,-10.0,20.0,-0.005724342993921994,0.011892207804568594,-0.0101976535978201,0.0465075804990566,0.018997965864279043,-0.0005247300299520002
-6.666666666666666,0.0,-20.0,-0.012270989001340993,0.00238147863853043,0.004006424748999926,0.044862366067359716,0.005438829845729021,-0.004913524598738839
-6.666666666666666,0.0,-15.0,-0.01242232413389599,0.0014888582842799301,0.003028056949039959,0.04413072566900062,0.0055279370228749625,-0.0034249174299890305
-6.666666666666666,0.0,-10.0,-0.012500247891382002,0.001708271298234235,0.0020560953055309694,0.04387150805870228,0.005601547540496993,-0.002479401016204357
-6.666666666666666,0.0,-5.0,-0.012659457300917979,0.005621010818399975,0.0011934896751149837,0.043505189879492735,0.005946985446967978,-0.0030794562775132033
-6.666666666666666,0.0,0.0,-0.012467903453710499,-0.0024775064713063646,0.0001335463410379878,0.04347057235402289,0.005713858953153003,0.0015466049627256505
-6.666666666666666,0.0,5.0,-0.012669706727960242,0.010879059026010558,-0.0007407788628349676,0.04442947288507369,0.006012757684301659,-0.0033232655725769877
-6.666666666666666,0.0,10.0,-0.012616638170065197,0.01257480775976615,-0.0017121907286601346,0.04536157341453955,0.0060246601004639855,-0.002990853144421286
-6.666666666666666,0.0,15.0,-0.012541349895017012,0.011985567203518165,-0.0026800588020898797,0.04644917390516289,0.00605353763706401,-0.0015350795452004835
-6.666666666666666,0.0,20.0,-0.012422645705168989,0.010842980830152267,-0.0036541097358500085,0.04777513362230224,0.00606970398735307,0.00029880762806585887
-6.666666666666666,10.0,-20.0,-0.010755311074991003,0.00040604643304800736,0.00048667511628019966,0.04329947681497265,-0.031009104305235013,-0.004222169853474497
-6.666666666666666,10.0,-15.0,-0.011652002929249006,-0.001173643892927012,-0.0021506924753190715,0.04217465032539436,-0.03878397132116501,-0.0026894573539526997
-6.666666666666666,10.0,-10.0,-0.012514723517122003,-0.0006828942282289946,-0.0054027523664840205,0.041391005999220604,-0.04655227850469201,-0.0019100603824515998
-6.666666666666666,10.0,-5.0,-0.01351124403888033,0.003552548284078208,-0.001927076526447996,0.0412923864589739,-0.03664161550973499,-0.0029138441530012996
-6.666666666666666,10.0,0.0,-0.014962939904591499,0.008125378089631596,0.0004652621752720132,0.041824237198894415,-0.028689076946681685,-0.004108523734514611
-6.666666666666666,10.0,5.0,-0.016301143433011818,0.011274692021788296,0.0021576171637099906,0.042728813758546556,-0.022087831754731297,-0.0046891082872809395
-6.666666666666666,10.0,10.0,-0.017224431778730898,0.0110442294263291,0.0031976257394998875,0.0437021328422108,-0.01603933103412801,-0.00366307702197059
-6.666666666666666,10.0,15.0,-0.01802446861081,0.009938241823323604,0.0034602280168700705,0.0448888987694504,-0.011023486884288003,-0.0021137973864711005
-6.666666666666666,10.0,20.0,-0.01892541163129602,0.009108363840292504,0.003008744859929857,0.046428372590499305,-0.006959367811511075,-0.0005271257544498011
-6.666666666666666,20.0,-20.0,-0.0069236722242759785,-0.0016550997278479973,0.002489523516680192,0.03957377811496669,-0.051762123785836,-0.0026792482920863017
-6.666666666666666,20.0,-15.0,-0.00878894744681799,-0.0031223590696420056,-0.001110607440138911,0.038036332530524006,-0.064287871682293,-0.0016976733989046006
-6.666666666666666,20.0,-10.0,-0.010143068898543994,-0.002764539426299978,-0.006463172966503006,0.03699131450933576,-0.079475726920772,-0.001264088825054098
-6.666666666666666,20.0,-5.0,-0.01250598825873227,0.0006947434048110157,0.0007570696134689969,0.036657674649393616,-0.06197256325410459,-0.002544148202216802
-6.666666666666666,20.0,0.0,-0.01575418856145117,0.004294802508445994,0.006120061543804012,0.0370245827111032,-0.047348113207192496,-0.003929274004072697
-6.666666666666666,20.0,5.0,-0.0189497542501645,0.006401168597249013,0.010945497945547,0.03775040691783331,-0.03507905939705741,-0.0046774910964445995
-6.666666666666666,20.0,10.0,-0.0213190832532483,0.006446485960872023,0.01337096924043002,0.0388393316186272,-0.025793329337765,-0.004311830775083
-6.666666666666666,20.0,15.0,-0.023597985613419997,0.006262266346162004,0.013932205380970064,0.040422583847679695,-0.01857850491340196,-0.0036578941951435975
