# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:15:36
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,20.0,-20.0,-0.03769351515108199,0.008467284898452998,0.2799368969879701,-0.004216356213844502,0.6995264148406699,-0.0028868234005242008
-20.0,20.0,-15.0,-0.04277836680034898,0.009345479262059003,0.266406213129853,-0.004073441451232299,0.666222321708964,-0.0036687251683013983
-20.0,20.0,-10.0,-0.0468761976777802,0.009658959890186003,0.25373515244842393,-0.0037193982386362,0.6342827792268231,-0.004127011827022298
-20.0,20.0,-5.0,-0.0497285730817294,0.009655130558535008,0.25337477048770995,-0.004490109623813403,0.634012509836523,-0.004482415067416801
-20.0,20.0,0.0,-0.05053182450930707,0.008367741920499994,0.2521228799548913,-0.004811120954219301,0.630570436055063,-0.003901954130528299
-20.0,20.0,5.0,-0.0514944285231841,0.006486478664024992,0.24634589857489203,-0.00411667490699095,0.6133163910045064,-0.0030683756566354005
-20.0,20.0,10.0,-0.0549479927713225,0.005517829626765003,0.24113914238741396,-0.0033394272464627,0.5971359107038791,-0.002983982954458498
-20.0,20.0,15.0,-0.05929676787985,0.0050888760558150115,0.2423114325701301,-0.0032851232544163014,0.5974054153741339,-0.0032180758559732965
-20.0,20.0,20.0,-0.06406425654402603,0.004551367917436017,0.24619238272209998,-0.003267566200153997,0.604050138286352,-0.003365627359998999
-13.333333333333332,-20.0,-20.0,-0.01952661609727996,-0.0061413956117030155,0.19606398125642,0.002968008685967999,0.48964449385934194,0.002098275335446702
-13.333333333333332,-20.0,-15.0,-0.02313676573852999,-0.006710136754910001,0.18733605608789394,0.002868069776047602,0.468284348284811,0.0026239299520861015
-13.333333333333332,-20.0,-10.0,-0.0259675538885136,-0.006890542096563007,0.179005211010561,0.002619478525514002,0.447356977763508,0.0029271348907222022
-13.333333333333332,-20.0,-5.0,-0.027962990727657,-0.006862920120441013,0.17935117509440998,0.003169406169552802,0.44874584937480805,0.003166051101451701
-13.333333333333332,-20.0,0.0,-0.02854606037071988,-0.005944352259565994,0.179027515983172,0.0033998090372446,0.44778972001556394,0.0027503903335296988
-13.333333333333332,-20.0,5.0,-0.029250508195179152,-0.004614794664404009,0.17547724429433298,0.002911034652878129,0.4369954674646434,0.0021617896067942996
-13.333333333333332,-20.0,10.0,-0.03174366945444221,-0.003943483440666001,0.17234930845865104,0.002364550404089602,0.42700958643879,0.0021118922425291987
-13.333333333333332,-20.0,15.0,-0.03489043529461999,-0.003639710019391007,0.1737458350096801,0.0023298306705218028,0.42869153417779804,0.0022818405724203024
-13.333333333333332,-20.0,20.0,-0.038392963469629005,-0.003252772566342016,0.17706169766812008,0.0023199450636419983,0.4348938537426503,0.0023890012527770996
-13.333333333333332,-10.0,-20.0,-0.012236368959631039,-0.0030736944610429,0.20037077891296007,0.0015179877600639963,0.498924087525114,0.0009599272021451992
-13.333333333333332,-10.0,-15.0,-0.01660868283771902,-0.003022237784800791,0.19407723112080888,0.0015386459104436978,0.483724697309106,0.0010937758092770013
-13.333333333333332,-10.0,-10.0,-0.0202028499887313,-0.0032071021291019963,0.18881545076870998,0.001541227089366,0.470952727014171,0.0012538998372500984
-13.333333333333332,-10.0,-5.0,-0.023553688307612432,-0.0029581619251410896,0.185525278883089,0.0014718682705796987,0.46258017798550405,0.0012659351005283002
-13.333333333333332,-10.0,0.0,-0.026514862359672202,-0.0020161345661793006,0.1857527103832153,0.0016858330215004094,0.462997039506406,0.0009638527981521809
-13.333333333333332,-10.0,5.0,-0.02956792939107241,-0.0011358805641314973,0.18324221127083,0.0015127587506647,0.4555091302523962,0.0006903348008312701
-13.333333333333332,-10.0,10.0,-0.033505072722742696,-0.0010636222921990984,0.18029972845971998,0.0011963460222548013,0.44644362671752497,0.00076614802258472
-13.333333333333332,-10.0,15.0,-0.03780759798163999,-0.0011937272306674074,0.18202903675317006,0.0012260587114887,0.449203654788361,0.0009475843233890009
-13.333333333333332,-10.0,20.0,-0.042460922723529027,-0.0009907094586290022,0.18454209088858997,0.0012158604466587022,0.4534805664197167,0.0009798717419805987
-13.333333333333332,0.0,-20.0,-0.01005384975413598,-5.92199651874196e-17,0.20184424545811996,2.329134590646489e-16,0.502163528664163,-4.0994181137700116e-19
-13.333333333333332,0.0,-15.0,-0.01467796602008098,-1.6255092412892e-17,0.1961814544982199,-1.354503936039058e-16,0.48844505442795394,-2.8619679364538175e-17
-13.333333333333332,0.0,-10.0,-0.018890878578802103,-9.628556280750199e-19,0.19145196952807497,-2.938387807685402e-17,0.47716890274081103,-5.99858005888061e-18
-13.333333333333332,0.0,-5.0,-0.022196385413143678,4.276836820380697e-17,0.18851451365233302,-3.290989251219349e-17,0.468413654436292,-3.120698248515747e-17
-13.333333333333332,0.0,0.0,-0.026393744915564902,3.537046799878939e-19,0.1857763141548267,-2.34362017931808e-17,0.46241100602499496,5.943686184988604e-18
-13.333333333333332,0.0,5.0,-0.030389529763384,2.18886959549761e-17,0.184555704733402,-1.8103364701307998e-17,0.45849890777772856,3.8609645138091e-18
-13.333333333333332,0.0,10.0,-0.034606613373386594,1.1814427538796197e-17,0.18439079592654495,7.22778910054034e-17,0.456841901652049,1.378149129065744e-17
-13.333333333333332,0.0,15.0,-0.039207707788944,-3.6139044124630703e-17,0.18527328028235002,-9.227847382585499e-17,0.457417695839252,2.98614475588228e-17
-13.333333333333332,0.0,20.0,-0.04400090233153703,-4.62433759016191e-17,0.18717365443388,-1.5625230342068987e-17,0.4601145381667862,-2.3192693833947073e-17
-13.333333333333332,10.0,-20.0,-0.01223636895963004,0.003073694461042803,0.20037077891296007,-0.0015179877600637048,0.49892408752511,-0.0009599272021450986
-13.333333333333332,10.0,-15.0,-0.01660868283771902,0.003022237784800888,0.19407723112080988,-0.0015386459104438019,0.483724697309107,-0.0010937758092769007
-13.333333333333332,10.0,-10.0,-0.0202028499887313,0.0032071021291019963,0.18881545076870998,-0.0015412270893657987,0.47095272701417,-0.0012538998372500984
-13.333333333333332,10.0,-5.0,-0.023553688307612532,0.0029581619251411034,0.185525278883089,-0.0014718682705796987,0.46258017798550505,-0.0012659351005283002
-13.333333333333332,10.0,0.0,-0.026514862359672202,0.0020161345661793006,0.18575271038321473,-0.0016858330215004397,0.462997039506406,-0.0009638527981521705
-13.333333333333332,10.0,5.0,-0.02956792939107237,0.0011358805641314973,0.183242211270831,-0.0015127587506646198,0.45550913025239637,-0.0006903348008312493
-13.333333333333332,10.0,10.0,-0.03350507272274279,0.0010636222921990013,0.18029972845971898,-0.0011963460222546001,0.44644362671752497,-0.0007661480225848102
-13.333333333333332,10.0,15.0,-0.03780759798163999,0.0011937272306674906,0.18202903675316007,-0.0012260587114886028,0.449203654788361,-0.0009475843233890009
-13.333333333333332,10.0,20.0,-0.04246092272352803,0.0009907094586290993,0.18454209088857998,-0.0012158604466586988,0.45348056641971624,-0.000979871741980401
-13.333333333333332,20.0,-20.0,-0.019526616097280958,0.0061413956117030155,0.19606398125642,-0.0029680086859679017,0.48964449385934394,-0.0020982753354465977
-13.333333333333332,20.0,-15.0,-0.02313676573853099,0.006710136754911,0.18733605608789294,-0.002868069776047602,0.468284348284812,-0.0026239299520861015
-13.333333333333332,20.0,-10.0,-0.025967553888513295,0.006890542096563007,0.17900521101056,-0.002619478525514002,0.447356977763508,-0.002927134890722098
-13.333333333333332,20.0,-5.0,-0.027962990727657,0.006862920120441013,0.17935117509440998,-0.003169406169552899,0.44874584937480705,-0.003166051101451701
-13.333333333333332,20.0,0.0,-0.02854606037071987,0.005944352259565994,0.1790275159831719,-0.0033998090372446017,0.44778972001556394,-0.0027503903335296988
-13.333333333333332,20.0,5.0,-0.0292505081951789,0.004614794664405009,0.17547724429433104,-0.002911034652878097,0.4369954674646414,-0.002161789606794199
-13.333333333333332,20.0,10.0,-0.0317436694544424,0.0039434834406670005,0.17234930845865504,-0.0023645504040893973,0.42700958643879,-0.002111892242529098
-13.333333333333332,20.0,15.0,-0.03489043529461899,0.0036397100193920062,0.1737458350096801,-0.0023298306705219,0.42869153417779604,-0.0022818405724204967
-13.333333333333332,20.0,20.0,-0.038392963469629005,0.0032527725663410167,0.17706169766813007,-0.0023199450636420954,0.4348938537426501,-0.0023890012527770996
-6.666666666666666,-20.0,-20.0,-0.005750350161685958,-0.0032422578500600208,0.0988215268905801,0.0015037481249489948,0.24659461321267595,0.0011129503649197
-6.666666666666666,-20.0,-15.0,-0.007597778681081996,-0.0033350768785429807,0.09476699687813406,0.0014533212474454951,0.23677138681968501,0.0012911773883372002
