# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:39:34
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],pbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,0.028559933214452663,-20.0,0.0012871217655719969,0.003013626206230094,0.010637593053209882,-0.02264011724905983,0.016104081251605007,-0.0002953475342463985
-45.0,0.028559933214452663,-15.0,-0.00014179886821259757,-0.009019906760032302,-0.0020512307515929695,-0.01323056456903296,-0.0041946415530668,0.0060531812174238996
-45.0,0.028559933214452663,-10.0,1.2219943546280115e-05,-0.0058969827342602,-0.0018906152669809773,-0.010356069580457,-0.0034514451201405998,0.0038141998868240004
-45.0,0.028559933214452663,-5.0,0.00029113853489820193,0.0033232934782615013,0.00386890089646999,-0.009744404180355258,0.00469856923875893,-0.0013802920925296992
-45.0,0.028559933214452663,0.0,0.0003302617643302988,0.00095650143924963,0.0028226988162190075,-0.00845272437720534,-0.0005623567270958002,-0.0005562857917435101
-45.0,0.028559933214452663,5.0,0.00025998820709620396,0.001634398914462102,-0.002369241691471957,-0.009800183257865677,-0.0025965656041880975,-0.0013071900392095798
-45.0,0.028559933214452663,10.0,0.0006639740056005004,0.0394803412129776,0.048196399616972974,-0.002118894298469969,0.0673039111860139,-0.02172298700071404
-45.0,0.028559933214452663,15.0,0.0003381882337408007,0.0080214937320357,-0.002705164373769886,-0.01583304098335794,-0.002758423606253002,-0.005591238499668399
-45.0,0.028559933214452663,20.0,0.0006629862863739011,0.013622796746490404,-0.0018790153190499925,-0.01975927234656548,-0.0012601651025749838,-0.009328083091596998
-45.0,0.042839899821678996,-20.0,0.0018111017111689942,-0.013064883545527012,0.004510135902799917,-0.02813240619554153,0.0041464677758719926,0.009739767981722096
-45.0,0.042839899821678996,-15.0,0.001569435384716003,-0.011458462257866099,0.005983157570801034,-0.02143800897274116,0.006469121164837888,0.007978772893481301
