# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:43:18
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-30.0,10.0,15.0,-0.05332346936487406,0.1283149618560997,0.13546011379601708,-0.0006453292504372101,0.18818582676919737,-0.0699982477535794
-45.0,-30.0,10.0,20.0,-0.05334392579567569,0.1392205301428208,0.14090976355527984,-0.00269498767412933,0.194204476685354,-0.07600916479409217
-45.0,-30.0,20.0,-20.0,-0.053850005912788906,0.10022983913243805,0.16031673266716107,0.02105945952962074,0.22260997851834802,-0.052103820620617865
-45.0,-30.0,20.0,-15.0,-0.05276807143457483,0.09674509639062978,0.15272917658516305,0.02015681841020319,0.2123307337072388,-0.0505406542980877
-45.0,-30.0,20.0,-10.0,-0.0527517513428318,0.09655430738460952,0.14726544370934097,0.01844690490024302,0.20496489452382172,-0.0508000575006769
-45.0,-30.0,20.0,-5.0,-0.051982718910733805,0.10099210391849939,0.1457835449290212,0.01553424315140177,0.20411093630014288,-0.0534075534316875
-45.0,-30.0,20.0,0.0,-0.050124683333234804,0.1071351416440737,0.1479406245583622,0.01223111707903441,0.2085323630043179,-0.0568354022575973
-45.0,-30.0,20.0,5.0,-0.049889294341227894,0.115072668188557,0.15128830342036798,0.00922342486736731,0.213673986061926,-0.06133159130638155
-45.0,-30.0,20.0,10.0,-0.0506359751530744,0.124573283932734,0.15594990142077803,0.006733945267291899,0.21984245958203402,-0.0667779514052177
-45.0,-30.0,20.0,15.0,-0.051939258998551695,0.13575331632770002,0.16200852847538993,0.00479460535844784,0.227379659113166,-0.073210885131238
-45.0,-30.0,20.0,20.0,-0.05295853472837281,0.14713356993896298,0.1660025601134001,0.0025110964911438,0.230943153888674,-0.0798242052371357
-45.0,-20.0,-20.0,-20.0,-0.0536883259511574,0.13464472583110199,0.13729427441127995,-0.0025228365199380697,0.19561591460155997,-0.07337950968282601
-45.0,-20.0,-20.0,-15.0,-0.05284213938489429,0.12329102655590995,0.12430654127210006,-0.0040992974688324295,0.17839584521624902,-0.066571974981914
-45.0,-20.0,-20.0,-10.0,-0.0512580650320391,0.11385397457537605,0.11245752875711501,-0.005957133775637481,0.162044727618878,-0.06099571457148491
-45.0,-20.0,-20.0,-5.0,-0.048977153072239,0.10754640846948399,0.10193547138544795,-0.008275154285588001,0.14669623747290303,-0.057338620144408305
-45.0,-20.0,-20.0,0.0,-0.04613246137892091,0.10412857789053703,0.09238287589057789,-0.010929980761123899,0.13167412181771898,-0.055486546221011505
-45.0,-20.0,-20.0,5.0,-0.042016196160729796,0.10308793018771001,0.08418424051194501,-0.013593412968986904,0.1174482159081191,-0.055185405363562
-45.0,-20.0,-20.0,10.0,-0.04035681171517684,0.10641062952279198,0.08478634174567196,-0.0139147392689992,0.11744531354268459,-0.057125184985577296
-45.0,-20.0,-20.0,15.0,-0.040913364013514766,0.11027563480441702,0.09077627412827405,-0.013313097561199999,0.12578654616324791,-0.058995119636700497
-45.0,-20.0,-20.0,20.0,-0.040465332807767804,0.10887902898927102,0.08565814674398986,-0.0151842144112214,0.11646721713595248,-0.0580186930745039
-45.0,-20.0,-10.0,-20.0,-0.0499480595252354,0.11166153510593901,0.11832824580146006,0.0028401027558088,0.16490530444394497,-0.0617655167241801
-45.0,-20.0,-10.0,-15.0,-0.0483938254696965,0.10171211483460402,0.10724911321799191,0.0013977301872648198,0.15072140241254797,-0.05586901095654269
