# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:12:20
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,0.0,-15.0,-0.0431311981159543,-0.012866065322021898,0.0075155412752929696,0.06986416257080974,0.0012023615410672872,0.00043859122005800166
-45.0,-20.0,0.0,-10.0,-0.04208401892859514,-0.007309757847773598,0.0058144601274360275,0.06562695345263701,0.0026063511742913,-0.0002110849336445994
-45.0,-20.0,0.0,-5.0,-0.04115265932994859,-0.0003792529857017009,0.005273228329223001,0.06280529815011221,0.004729851593813562,-0.0014621438575025993
-45.0,-20.0,0.0,0.0,-0.0411017322868825,0.00360368058611109,0.0017973923151870103,0.06201911531167815,0.0023857834729687985,-0.00129720698129994
-45.0,-20.0,0.0,5.0,-0.040718192720600004,0.006100895368186901,-0.002272883447164975,0.06297178198723383,-0.0007835905290035916,-0.0003928647654055095
-45.0,-20.0,0.0,10.0,-0.0416537444208383,0.0102833557537013,-0.001225515348062034,0.06599294624117087,0.0033903666479657008,-0.00015194031184099892
-45.0,-20.0,0.0,15.0,-0.042737387785523495,0.015099318722426702,0.002521767666509911,0.07146859810020827,0.012883626188345987,-0.00039188371457690024
-45.0,-20.0,0.0,20.0,-0.043017811416464505,0.014307801202720204,-0.0009343425685199858,0.07664885527786612,0.012957498573053006,0.0021592342595005004
-45.0,-20.0,10.0,-20.0,-0.029354327247513412,-0.0219931906563901,0.06559817928140999,0.0724408516130296,-0.0036953151297789005,0.0011609678715830008
-45.0,-20.0,10.0,-15.0,-0.030003072724927804,-0.022247185674325598,0.06651261326074498,0.06767204011227561,-0.007869393475067502,0.0034461798100366503
-45.0,-20.0,10.0,-10.0,-0.031466415631110925,-0.017342119084182102,0.069118626714255,0.06311786460611366,-0.007565997164122599,0.0029986821629468113
