# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:29:15
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],qbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,0.013053916103765738,-20.0,-0.009308795511705006,-0.015730721057643504,-0.03560746991420016,-0.0020602902368325503,-0.03171452900371509,0.008725482738699199
-45.0,0.013053916103765738,-15.0,-0.005733634594391697,-0.0138073944016016,-0.028624445726040948,-0.0017324141870368,-0.027227725530400405,0.007578733060265901
-45.0,0.013053916103765738,-10.0,-0.0031592714149519586,-0.0124695635766163,-0.023262017085250997,-0.00133655356817003,-0.02396049032764876,0.0067610410984219015
-45.0,0.013053916103765738,-5.0,-0.0012970313714513008,-0.011713197267707299,-0.019943706913521014,-0.0008807311111407441,-0.0219639592826428,0.006303050813701621
-45.0,0.013053916103765738,0.0,0.0003414051871089979,-0.011857839535372752,-0.019118237009942987,-0.0003635150106925456,-0.021448049736953002,0.00635220974512258
-45.0,0.013053916103765738,5.0,0.0021220740923270018,-0.0126625789680853,-0.021041749472437976,4.541376885593205e-05,-0.022700912232843595,0.00673632553422206
-45.0,0.013053916103765738,10.0,0.0039941369091064,-0.0122605990411879,-0.022376543602738996,0.0008396064368120101,-0.02130219398639399,0.006573104995087401
-45.0,0.013053916103765738,15.0,0.006456831979738301,-0.012951467886660802,-0.026265642637179898,0.00157272384705207,-0.021724846176746,0.006991714546916199
-45.0,0.013053916103765738,20.0,0.010753491938111495,-0.0157419873339181,-0.035194902175959886,0.0012657734743216505,-0.028781603669334993,0.008461669452054801
-45.0,0.015664699324518885,-20.0,-0.01107494306263801,-0.01901607414607341,-0.04270060567378997,-0.0023260731866107005,-0.038141150531626894,0.010549988177283899
-45.0,0.015664699324518885,-15.0,-0.0067982473625375,-0.0164824221007615,-0.03417089887400104,-0.0020196923619399103,-0.032492025426978405,0.009042107982251402
-45.0,0.015664699324518885,-10.0,-0.003730865272759458,-0.0148991365719547,-0.027777325262247965,-0.00155053763127992,-0.02860503208047719,0.008073382654480502
-45.0,0.015664699324518885,-5.0,-0.0015089800230006986,-0.01402799868084071,-0.023845491034077015,-0.0010058968322292502,-0.026255761360684297,0.0075455168933872205
-45.0,0.015664699324518885,0.0,0.0004538618770850017,-0.014257370178667989,-0.022921185562276,-0.0003861965212608886,-0.025703919298333593,0.00763611237973925
-45.0,0.015664699324518885,5.0,0.002609896293971403,-0.015600983676690001,-0.02574720360638999,3.8154241493127024e-05,-0.02786663116643759,0.008287978888274861
-45.0,0.015664699324518885,10.0,0.004853196507413102,-0.014902830383123896,-0.027073108501344034,0.0010241392956257202,-0.02581688988047401,0.0079896422756951
-45.0,0.015664699324518885,15.0,0.007842291289306701,-0.015613885025424094,-0.031613936966210066,0.00193742337902228,-0.026122995672549,0.008426680485217403
-45.0,0.015664699324518885,20.0,0.012992302342063292,-0.01906851933031549,-0.042456458711789935,0.00154057351273781,-0.034759496639369,0.0102512876147492
-40.0,-0.015664699324518885,-20.0,0.012747896326212982,0.01916315898190689,0.04784682650275007,0.0032288244345656004,0.044075188184029,-0.010774548196113204
