# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:14:21
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-40.0,0.0,-15.0,0.0522577363223852,0.0561392192973374,0.860577710826998,0.00524827098918767,0.0836868778154489,-0.0305196691364082
-40.0,0.0,-10.0,0.00337930513782224,0.036159511713131,0.536156002953501,0.00311736676950023,0.0352755834224892,-0.0196063634467877
-40.0,0.0,-5.0,-0.0266421867296147,0.0229826851541174,0.216079588789467,0.000858784116593117,-0.0003537129627553,-0.0122967369022969
-40.0,0.0,0.0,-0.0407149293419505,0.0027656556258803,-0.111424742827796,0.000397680596272781,-0.0432737356668738,-0.00145815888235988
-40.0,0.0,5.0,-0.0389755992852814,-0.0159295486576674,-0.437408807876623,-0.000673399925023219,-0.085969699396836,0.00855825582637331
-40.0,0.0,10.0,-0.0205334467138619,-0.0273228562866787,-0.746350898084815,0.00130219819169265,-0.111309752912948,0.0148177240806659
-40.0,0.0,15.0,0.0191820540424774,-0.0492692329498305,-1.066701534423,0.00158334853942757,-0.161944985983603,0.0265113533742689
-40.0,0.0,20.0,0.0840652920547317,-0.0709097368617518,-1.37727091552931,0.00342205240721157,-0.213232733071478,0.0381136465622846
-40.0,10.0,-20.0,0.127888462271024,-0.0188219197564724,1.09586389835094,0.00801480023098816,0.106345260575295,-0.0152193572071959
-40.0,10.0,-15.0,0.0566474550731415,-0.0343488421570453,0.780800594695958,0.00233105436400787,0.0444460261174986,-0.00860294978029066
-40.0,10.0,-10.0,0.00447132854832554,-0.0433666526559236,0.472508699467861,-0.00192382188434572,-0.00477184053779174,-0.0053089371908597
-40.0,10.0,-5.0,-0.0279966944394156,-0.0553018418361851,0.162993025859392,-0.00286361676413205,-0.0527596290361112,0.00015172416300641
-40.0,10.0,0.0,-0.0411059373648101,-0.0755244967287675,-0.15385947540914,-0.000471975769282119,-0.105682387134007,0.0105697228821973
-40.0,10.0,5.0,-0.033596938949275,-0.101069372497733,-0.467341449294182,0.00420643990905375,-0.15901398342629,0.0245361434536128
-40.0,10.0,10.0,-0.00574131131081105,-0.127531095510482,-0.783225132029219,0.00627930356480383,-0.217597195155834,0.0396206245929725
-40.0,10.0,15.0,0.0434802672532319,-0.151992851601662,-1.09066220539552,0.00744763157596871,-0.271793256900951,0.0541386000519077
-40.0,10.0,20.0,0.114520897935635,-0.178306330364693,-1.39277107023625,0.00885713043426731,-0.324713652397873,0.0696836105308205
-40.0,20.0,-20.0,0.115676151975662,-0.0983553007998569,0.993299233077625,0.00548075225625613,0.135552594638819,0.000801020921583626
-40.0,20.0,-15.0,0.0527698388593522,-0.116202919891632,0.690193014658435,-0.000900422681342127,0.0543432681344645,0.00429374145438193
-40.0,20.0,-10.0,0.00233603424997912,-0.129054803819285,0.397066991969411,-0.0063435007549769,-0.0197221154201619,0.0061631983600718
-40.0,20.0,-5.0,-0.0295785357289244,-0.147298461367847,0.100072683394874,-0.00705721793092428,-0.0990221651474072,0.0129231937349197
-40.0,20.0,0.0,-0.0384899342407112,-0.172196413233928,-0.202403750249088,-0.00333438604457554,-0.181986093567263,0.0255221408838637
