# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:19:15
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],rbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-0.007139983303613166,15.0,0.000125098293762501,-0.0002795959561004979,-0.000980134367249974,-0.002542771750814209,-0.0009439850899790048,0.00028737652426859966
-45.0,-0.007139983303613166,20.0,0.00047763516714009746,-0.0012369021039371902,-0.003420935475609843,-0.003584703577420613,-0.004590595082917981,0.0007371392689975997
-45.0,-0.004759988869075444,-20.0,-0.000259785321299999,-0.0003942571701743003,-0.0015105940528199469,0.0020567750378662694,-0.0020288592775069975,0.00028610849478340195
-45.0,-0.004759988869075444,-15.0,-0.0001857532334421999,-0.0006122802167507005,-0.0014197668894350146,0.0016859168092189791,-0.0019309900913623002,0.0004467701827230025
-45.0,-0.004759988869075444,-10.0,-0.00013842231695818975,-0.0010002814307207009,-0.0015128819463179344,0.0011887893695580703,-0.0020903535441559006,0.0007012951551649028
-45.0,-0.004759988869075444,-5.0,-8.084077710699897e-05,-0.0012338847423041012,-0.0015486045055690123,0.000546164208233081,-0.00214226436206625,0.0008574562846051011
-45.0,-0.004759988869075444,0.0,-7.46825684579816e-06,-0.00126540169029788,-0.0015500616221170022,-0.000198793861168867,-0.002132985329222001,0.000884543244221928
-45.0,-0.004759988869075444,5.0,6.996753244740278e-05,-0.0012933097025942981,-0.0017228808652379746,-0.0009395538620648671,-0.0023598855453904888,0.0008767834670743591
-45.0,-0.004759988869075444,10.0,0.0001378418799437009,-0.0012088850124057984,-0.001861429242071,-0.001568358415456831,-0.002529269574609999,0.0007914943955568011
-45.0,-0.004759988869075444,15.0,0.00014601238381969917,-0.0004137292237254009,-0.001054057978109979,-0.001800423205290411,-0.0012518182833539948,0.00030984615217259995
-45.0,-0.004759988869075444,20.0,0.0003153065586575937,-0.0008235244429260907,-0.002262753613689883,-0.00238773974155347,-0.003050292514091002,0.0004908426271443
-45.0,-0.002379994434537722,-20.0,-0.00012998228122400313,-0.00019340530153109936,-0.0007573334746799887,0.0010274268171049199,-0.0010102239153839954,0.00014092947474689949
-45.0,-0.002379994434537722,-15.0,-9.367815551949987e-05,-0.0003064018743648006,-0.0007139448099859891,0.0008436148373134004,-0.0009666663726072,0.00022350557780470223
-45.0,-0.002379994434537722,-10.0,-7.004964391605977e-05,-0.0005016308585581025,-0.0007599548144879842,0.0005954511009721901,-0.0010473438982509,0.0003514116949954009
-45.0,-0.002379994434537722,-5.0,-4.11200952426978e-05,-0.0006186457859055985,-0.0007763155689990142,0.0002741023883925009,-0.0010729902352064604,0.00042958168309470066
-45.0,-0.002379994434537722,0.0,-4.318359182402254e-06,-0.0006335911023446703,-0.0007742186007739932,-9.850591005918099e-05,-0.0010666788318713996,0.00044271059981978
-45.0,-0.002379994434537722,5.0,3.4268310784103806e-05,-0.0006477052001115993,-0.000859184390031964,-0.00046898517412148687,-0.0011796926112301875,0.00043890887550288894
-45.0,-0.002379994434537722,10.0,6.732015462779933e-05,-0.0006005564837802992,-0.0009188244685559566,-0.000781806993591157,-0.0012527487738780013,0.0003937016180639002
-45.0,-0.002379994434537722,15.0,0.00011521459688370109,-0.00037970664807569776,-0.0008266641395000551,-0.0009787460588448912,-0.001089110508704999,0.0002454351665252992
-45.0,-0.002379994434537722,20.0,0.00015609956997950092,-0.00041124550937199356,-0.0011224664821298802,-0.0011928380309365499,-0.0015201309469060065,0.0002451402372048994
