# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-15.0,10.0,-15.0,-0.026596516028,-0.005907209503,0.112313628217,0.005100551953,0.147808730111,0.002703273036
-15.0,10.0,-10.0,-0.014419047411,-0.00385118613,0.077142649282,0.003502806306,0.101618929042,0.001757706708
-15.0,10.0,-5.0,-0.005105309012,-0.001811397813,0.038276570454,0.001742134587,0.050468793002,0.000824712285
-15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,10.0,5.0,-0.003223142719,0.0009325042,-0.037074561523,-0.001730710732,-0.049084549001,-0.000369242987
-15.0,10.0,10.0,-0.010393170121,0.001647586095,-0.072791707027,-0.003465755357,-0.096414074612,-0.00063254807
-15.0,10.0,15.0,-0.02038520616,0.002063332306,-0.103467138256,-0.005028989076,-0.137099796717,-0.000757961022
-15.0,20.0,-15.0,-0.020770375024,-0.013648406484,0.117488732231,0.010123127839,0.148182295475,0.007162529282
-15.0,20.0,-10.0,-0.010477123293,-0.00893415841,0.080785113959,0.006944180346,0.101974752565,0.004694031713
-15.0,20.0,-5.0,-0.00317344307,-0.004217535347,0.04013222033,0.003449435766,0.050696302947,0.002219409965
-15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,20.0,5.0,-0.004920099889,0.002405081325,-0.039019036815,-0.003413630607,-0.049435195689,-0.001253410712
-15.0,20.0,10.0,-0.013733710325,0.004320045732,-0.076718449995,-0.0068280767,-0.097168012773,-0.002252475894
-15.0,20.0,15.0,-0.025145606398,0.005534274578,-0.109184565723,-0.009898841359,-0.138236064688,-0.002887432835
-10.0,-20.0,-15.0,-0.019407410314,0.016824747106,0.104500094641,-0.011333169032,0.132932368038,-0.009524833566
-10.0,-20.0,-10.0,-0.009603881148,0.011042240877,0.072239987031,-0.007763199938,0.092044384376,-0.006269952302
-10.0,-20.0,-5.0,-0.002767728649,0.005230150073,0.036095993966,-0.003849794799,0.046065233103,-0.002980541789
-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,-20.0,5.0,-0.005199216337,-0.003123558672,-0.035503966734,0.003805993018,-0.045534962851,0.001833628967
-10.0,-20.0,10.0,-0.014322459734,-0.005695224878,-0.07015633771,0.007597551385,-0.090028529063,0.003376944333
-10.0,-20.0,15.0,-0.026033692628,-0.007443536373,-0.100294840922,0.010994160333,-0.128759986157,0.004466427402
-10.0,-10.0,-15.0,-0.025977592909,0.006668833903,0.103115643954,-0.005186573567,0.138180008103,-0.003278791762
-10.0,-10.0,-10.0,-0.014065129001,0.004342441505,0.071198670554,-0.003555515334,0.095556131175,-0.0021319756
