# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,10.0,-10.0,0.001710017976,-0.036860380027,0.020303331945,-0.00871404831,0.016108338141,0.021301082272
-20.0,10.0,-5.0,0.001315497001,-0.01837816191,0.009779483315,-0.00434393899,0.007303257474,0.010607637586
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,5.0,-0.00439142863,0.018086274946,-0.008556535892,0.004272404413,-0.003849803611,-0.010436446914
-20.0,10.0,10.0,-0.009664204473,0.03589226089,-0.016390169679,0.008481273959,-0.006247200214,-0.020721404139
-20.0,10.0,15.0,-0.015246991856,0.051569005537,-0.022767082232,0.012189752676,-0.007060290614,-0.029929366453
-20.0,20.0,-15.0,0.896941700514,-0.074990457819,2.999667877619,-0.014847893297,1.86358037926,0.040635903509
-20.0,20.0,-10.0,0.618970731725,-0.051482095434,2.066285916012,-0.010186047719,1.282696870105,0.027755137972
-20.0,20.0,-5.0,0.309103086072,-0.025559541393,1.029945750958,-0.00505327719,0.638837498237,0.013761345011
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,5.0,-0.310554348565,0.024859143375,-1.02306929732,0.00489138798,-0.631831752069,-0.013367531114
-20.0,20.0,10.0,-0.620265949732,0.049185292729,-2.039790657176,0.009667345162,-1.258743836454,-0.026440971232
-20.0,20.0,15.0,-0.896976792963,0.070479358435,-2.944738855296,0.013837904563,-1.81579760008,-0.038025050369
-15.0,-20.0,-15.0,-0.044932338035,-0.051603773887,-0.118904918547,-0.012528386407,-0.067075428695,0.030420402035
-15.0,-20.0,-10.0,-0.030213482919,-0.036121500175,-0.082858117995,-0.008763610199,-0.047709188716,0.021182002672
-15.0,-20.0,-5.0,-0.014693317247,-0.018313384447,-0.041828368044,-0.004440055265,-0.024588220132,0.010736591035
-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-20.0,5.0,0.011454889958,0.018927020106,0.043001308048,0.004590603679,0.028011714259,-0.011100257972
-15.0,-20.0,10.0,0.021992693008,0.038175363552,0.086851329477,0.00925886487,0.057604515346,-0.022425759649
-15.0,-20.0,15.0,0.030514253865,0.055667133025,0.12685950125,0.013502171685,0.085557871314,-0.032915890755
-15.0,-10.0,-15.0,-0.038695264721,-0.046445854249,-0.098208517755,-0.011299401764,-0.053995521595,0.027864389614
