# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,20.0,-5.0,1.347802743208,-0.029093889886,4.475063456444,0.016454979457,2.745277945382,0.009946229044
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,5.0,-1.330222656571,0.024754296004,-4.367012260292,-0.016506890642,-2.678881721261,-0.009572416226
-20.0,20.0,10.0,-2.630865906739,0.048798708251,-8.628102860829,-0.033011093103,-5.291661881124,-0.0190293963
-20.0,20.0,15.0,-3.771644472702,0.069862073191,-12.355656792026,-0.047958225936,-7.576324551057,-0.027564099264
-15.0,-20.0,-15.0,-0.23241572435,-0.009812516381,-0.651353963672,0.044887837866,-0.324298391738,0.005137425275
-15.0,-20.0,-10.0,-0.159235257589,-0.007015806477,-0.454177721682,0.030934858195,-0.227050736477,0.003430184871
-15.0,-20.0,-5.0,-0.079202341203,-0.003640282053,-0.229709288458,0.01548860533,-0.115395542306,0.001685887192
-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-20.0,5.0,0.066298154389,0.007560072974,0.236598322416,-0.015464080207,0.119348037459,-0.001918248997
-15.0,-20.0,10.0,0.131921648098,0.015512705165,0.478657467107,-0.030788681374,0.242279828215,-0.003861762088
-15.0,-20.0,15.0,0.189458927027,0.023349646678,0.700894357215,-0.044546577246,0.356112003955,-0.005739180425
-15.0,-10.0,-15.0,-0.212416027062,-0.009242480896,-0.600791736133,0.050379866062,-0.326916902505,0.002284370054
-15.0,-10.0,-10.0,-0.147210766517,-0.006271764074,-0.426519701515,0.034721254033,-0.233185285632,0.001390879603
-15.0,-10.0,-5.0,-0.074186869251,-0.00314719018,-0.217789811307,0.01737984691,-0.11940040766,0.000644958722
-15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-10.0,5.0,0.06288221606,0.005106472056,0.22921802977,-0.017339929568,0.125709533397,-0.000727416267
-15.0,-10.0,10.0,0.126908034987,0.010350389264,0.469131678095,-0.034549658297,0.258017596755,-0.001430997676
-15.0,-10.0,15.0,0.184546745625,0.015473002715,0.693906824346,-0.050014099558,0.382780009415,-0.002169630658
-15.0,0.0,-15.0,-0.028826837242,-0.01459500356,0.006623130942,0.052382443226,0.00338841607,0.00222693696
-15.0,0.0,-10.0,-0.017273608,-0.009863734117,0.003667274341,0.03614026933,0.001663860458,0.001411501199
-15.0,0.0,-5.0,-0.007451256223,-0.004896320858,0.001377538765,0.018111612244,0.000505060594,0.000684918407
-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,0.0,5.0,-0.007451256223,0.004896320858,0.001377538765,-0.018111612244,0.000505060594,-0.000684918407
-15.0,0.0,10.0,-0.017273608,0.009863734117,0.003667274341,-0.03614026933,0.001663860458,-0.001411501199
-15.0,0.0,15.0,-0.028826837242,0.01459500356,0.006623130942,-0.052382443226,0.00338841607,-0.00222693696
-15.0,10.0,-15.0,0.184546745625,-0.015473002715,0.693906824346,0.050014099558,0.382780009415,0.002169630658
-15.0,10.0,-10.0,0.126908034987,-0.010350389264,0.469131678095,0.034549658297,0.258017596755,0.001430997676
-15.0,10.0,-5.0,0.06288221606,-0.005106472056,0.22921802977,0.017339929568,0.125709533397,0.000727416267
-15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,10.0,5.0,-0.074186869251,0.00314719018,-0.217789811307,-0.01737984691,-0.11940040766,-0.000644958722
-15.0,10.0,10.0,-0.147210766517,0.006271764074,-0.426519701515,-0.034721254033,-0.233185285632,-0.001390879603
-15.0,10.0,15.0,-0.212416027062,0.009242480896,-0.600791736133,-0.050379866062,-0.326916902505,-0.002284370054
-15.0,20.0,-15.0,0.189458927027,-0.023349646678,0.700894357215,0.044546577246,0.356112003955,0.005739180425
-15.0,20.0,-10.0,0.131921648098,-0.015512705165,0.478657467107,0.030788681374,0.242279828215,0.003861762088
-15.0,20.0,-5.0,0.066298154389,-0.007560072974,0.236598322416,0.015464080207,0.119348037459,0.001918248997
-15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,20.0,5.0,-0.079202341203,0.003640282053,-0.229709288458,-0.01548860533,-0.115395542306,-0.001685887192
-15.0,20.0,10.0,-0.159235257589,0.007015806477,-0.454177721682,-0.030934858195,-0.227050736477,-0.003430184871
-15.0,20.0,15.0,-0.23241572435,0.009812516381,-0.651353963672,-0.044887837866,-0.324298391738,-0.005137425275
-10.0,-20.0,-15.0,-0.122566158147,-0.003281861883,-0.340110966304,0.039991392726,-0.126470785197,0.002817059857
-10.0,-20.0,-10.0,-0.082912930861,-0.002557722999,-0.241318696758,0.027575839751,-0.09185657333,0.001845005945
-10.0,-20.0,-5.0,-0.040813675066,-0.001425853197,-0.124284393086,0.013815938534,-0.048499163936,0.000892299195
-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,-20.0,5.0,0.027309525133,0.005317185827,0.121815652792,-0.013800187769,0.046343606891,-0.001127495636
-10.0,-20.0,10.0,0.053310982846,0.0109645724,0.244430638197,-0.027473703315,0.093155207487,-0.002236202644
-10.0,-20.0,15.0,0.074772426284,0.016660288942,0.356761172728,-0.039747151352,0.136877512829,-0.003309459594
-10.0,-10.0,-15.0,-0.057968203093,-0.006625252096,-0.109484405561,0.04731012722,-0.017751211436,0.002201087603
-10.0,-10.0,-10.0,-0.03794756447,-0.004497367527,-0.07732073278,0.032605617142,-0.01345093991,0.001331592496
-10.0,-10.0,-5.0,-0.01810081376,-0.002242571671,-0.039693533171,0.016324419719,-0.007460329093,0.000601811685
-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,-10.0,5.0,0.003867120677,0.004178970904,0.043017446031,-0.016282872194,0.00911042904,-0.000659002889
-10.0,-10.0,10.0,0.006038815118,0.008447918264,0.088235168346,-0.032433870527,0.019622503309,-0.001250797007
-10.0,-10.0,15.0,0.005822991635,0.012641484812,0.1310337138,-0.046941127809,0.030615256194,-0.001840289255
-10.0,0.0,-15.0,-0.028887242244,-0.008834017058,0.00454760102,0.050721312343,0.002353832127,0.00108689803
-10.0,0.0,-10.0,-0.017334012406,-0.005909890468,0.002509380629,0.034999707858,0.001145996104,0.000640400851
-10.0,0.0,-5.0,-0.007493683937,-0.002926291367,0.00094019003,0.017542462658,0.000343723204,0.000303628572
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,0.0,5.0,-0.007493683937,0.002926291367,0.00094019003,-0.017542462658,0.000343723204,-0.000303628572
