# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
-10.0,0.008980512333,-0.002252524113,0.0,-0.019955062648,0.0,-0.023857987493,-0.0
-10.0,0.014967520555,-0.00358059855,0.0,-0.033061295665,-0.0,-0.039521335916,-0.0
-10.0,0.020954528777,-0.00477124937,0.0,-0.046039539407,-0.0,-0.055030933476,-0.0
-10.0,0.026941536999,-0.005825241529,0.0,-0.058915039251,0.0,-0.070420561772,-0.0
-5.0,-0.026941536999,0.005121729608,-0.0,0.059021762336,0.0,0.071988884863,-0.0
-5.0,-0.020954528777,0.003742008627,0.0,0.045650989828,0.0,0.055657715719,-0.0
-5.0,-0.014967520555,0.002501317306,0.0,0.032446931575,0.0,0.039545458674,-0.0
-5.0,-0.008980512333,0.001398297504,-0.0,0.019384207007,0.0,0.023618103721,-0.0
-5.0,-0.002993504111,0.000432025286,0.0,0.006437597619,0.0,0.007841898437,-0.0
-5.0,0.002993504111,-0.000397987195,0.0,-0.006417951642,0.0,-0.007816650951,-0.0
-5.0,0.008980512333,-0.00109179069,0.0,-0.01920733139,0.0,-0.023390779206,-0.0
-5.0,0.014967520555,-0.001648998771,-0.0,-0.031955266991,0.0,-0.038913462134,0.0
-5.0,0.020954528777,-0.002068788723,-0.0,-0.044686317794,0.0,-0.054417416998,0.0
-5.0,0.026941536999,-0.002349903799,0.0,-0.057424877296,-0.0,-0.06993510546,-0.0
0.0,-0.026941536999,0.001017750818,0.0,0.055928920158,0.0,0.06815599492,-0.0
0.0,-0.020954528777,0.000541178166,0.0,0.043001750185,0.0,0.052364348652,-0.0
0.0,-0.014967520555,0.000221801878,0.0,0.030635743877,0.0,0.037294795513,-0.0
0.0,-0.008980512333,3.7975797e-05,-0.0,0.018489602846,0.0,0.022511408053,0.0
0.0,-0.002993504111,-1.9384023e-05,-0.0,0.00623496708,-0.0,0.007594587838,0.0
0.0,0.002993504111,5.2681151e-05,0.0,-0.006204860691,0.0,-0.007555181076,-0.0
0.0,0.008980512333,0.000256797424,0.0,-0.018626143246,0.0,-0.022678190945,0.0
0.0,0.014967520555,0.000590098063,0.0,-0.030974323437,0.0,-0.037704933741,-0.0
0.0,0.020954528777,0.001058429315,-0.0,-0.043552029369,0.0,-0.053025397738,0.0
0.0,0.026941536999,0.001675544409,-0.0,-0.056587957695,0.0,-0.068933858687,0.0
5.0,-0.026941536999,-0.002553552913,0.0,0.056712253883,0.0,0.068484445653,-0.0
5.0,-0.020954528777,-0.002223833849,0.0,0.044279546551,-0.0,0.053457098026,0.0
5.0,-0.014967520555,-0.001759647069,0.0,0.031768656874,-0.0,0.038345499405,0.0
5.0,-0.008980512333,-0.001159473917,-0.0,0.019156719237,-0.0,0.023119341436,-0.0
5.0,-0.002993504111,-0.000421421651,-0.0,0.006421140286,-0.0,0.007748719478,-0.0
5.0,0.002993504111,0.000456764613,0.0,-0.006460398349,-0.0,-0.007795866095,-0.0
5.0,0.008980512333,0.001477689077,0.0,-0.019509936794,-0.0,-0.023543507931,0.0
5.0,0.014967520555,0.002644291607,-0.0,-0.032749233146,-0.0,-0.039522889104,-0.0
5.0,0.020954528777,0.003959833279,0.0,-0.046199759205,-0.0,-0.055762279945,-0.0
5.0,0.026941536999,0.005427881178,-0.0,-0.05988269579,-0.0,-0.072289534344,-0.0
10.0,-0.026941536999,-0.005880568939,0.0,0.0596620815,-0.0,0.070441371407,-0.0
10.0,-0.020954528777,-0.004827507688,0.0,0.046752110471,0.0,0.055193145282,-0.0
10.0,-0.014967520555,-0.003632212561,0.0,0.033661497586,0.0,0.039737483912,-0.0
10.0,-0.008980512333,-0.002291499717,0.0,0.020368090043,-0.0,0.024045153978,0.0
10.0,-0.002993504111,-0.000801855559,0.0,0.006850027161,0.0,0.008087345131,-0.0
10.0,0.002993504111,0.00084054723,0.0,-0.006914253026,-0.0,-0.008164324039,-0.0
10.0,0.008980512333,0.00263983285,0.0,-0.02094600695,0.0,-0.024737799785,-0.0
