# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
5.0,0.027766601736,8.193039e-06,0.0026387508,-3.850195e-06,0.002835298874,5.5511628e-05,-0.002294861036
5.0,0.035699916518,1.2406779e-05,0.00345244348,-1.129235e-06,0.003651967938,9.8435496e-05,-0.002966639715
10.0,-0.035699916518,0.000120175761,-0.018199213539,-8.197397e-05,-0.007671940805,3.934487e-06,0.008846172192
10.0,-0.027766601736,7.4611441e-05,-0.014270584938,-5.4343827e-05,-0.005981853645,-3.073638e-06,0.006925642881
10.0,-0.019833286954,3.9507674e-05,-0.010243010403,-3.1927084e-05,-0.004281168551,-6.339195e-06,0.004970415165
10.0,-0.011899972173,1.5099852e-05,-0.006104062251,-1.4638733e-05,-0.00256578348,-5.739896e-06,0.002972132205
10.0,-0.003966657391,1.965524e-06,-0.001875686299,-3.092818e-06,-0.000825152549,-1.97895e-06,0.000918157342
10.0,0.003966657391,1.965524e-06,0.001875686299,-3.092818e-06,0.000825152549,-1.97895e-06,-0.000918157342
10.0,0.011899972173,1.5099852e-05,0.006104062251,-1.4638733e-05,0.00256578348,-5.739896e-06,-0.002972132205
10.0,0.019833286954,3.9507674e-05,0.010243010403,-3.1927084e-05,0.004281168551,-6.339195e-06,-0.004970415165
10.0,0.027766601736,7.4611441e-05,0.014270584938,-5.4343827e-05,0.005981853645,-3.073638e-06,-0.006925642881
10.0,0.035699916518,0.000120175761,0.018199213539,-8.197397e-05,0.007671940805,3.934487e-06,-0.008846172192
15.0,-0.035699916518,0.001246038866,0.098525116726,-0.001893329346,0.007009146689,-0.002740633342,-0.037627474125
15.0,-0.027766601736,0.000775451311,0.07193827805,-0.001166872254,0.005051573508,-0.001702450139,-0.027939678634
15.0,-0.019833286954,0.00041006874,0.048665811658,-0.000610973269,0.003398902891,-0.000899287791,-0.019231343047
15.0,-0.011899972173,0.000158568308,0.028427036874,-0.000232998511,0.002031831131,-0.000347659632,-0.011434413204
15.0,-0.003966657391,2.3904977e-05,0.010498280472,-3.3350301e-05,0.000882719236,-5.2337458e-05,-0.004323700704
15.0,0.003966657391,2.3904977e-05,-0.010498280472,-3.3350301e-05,-0.000882719236,-5.2337458e-05,0.004323700704
15.0,0.011899972173,0.000158568308,-0.028427036874,-0.000232998511,-0.002031831131,-0.000347659632,0.011434413204
15.0,0.019833286954,0.00041006874,-0.048665811658,-0.000610973269,-0.003398902891,-0.000899287791,0.019231343047
15.0,0.027766601736,0.000775451311,-0.07193827805,-0.001166872254,-0.005051573508,-0.001702450139,0.027939678634
15.0,0.035699916518,0.001246038866,-0.098525116726,-0.001893329346,-0.007009146689,-0.002740633342,0.037627474125
20.0,-0.035699916518,0.352141357981,0.593307188672,-3.446875353375,-0.031785324227,-2.9315372735,-0.011520682599
20.0,-0.027766601736,0.071435039519,-0.001949696594,-0.423170492975,-0.068399091275,-0.354628161125,0.129849032405
20.0,-0.019833286954,0.023082952952,-0.316079786601,-0.017932946376,-0.079149509331,-0.033897682503,0.188324581332
20.0,-0.011899972173,0.006818346616,-0.415995802682,0.001015587283,-0.07422547405,-0.003860622574,0.192943009296
20.0,-0.003966657391,-0.013024518072,-0.68186677033,-0.055245382151,-0.106197355597,-0.059258676589,0.29770583905
20.0,0.003966657391,-0.013024518072,0.681866770331,-0.055245382151,0.106197355597,-0.059258676589,-0.29770583905
20.0,0.011899972173,0.006818346616,0.415995802682,0.001015587283,0.07422547405,-0.003860622574,-0.192943009296
20.0,0.019833286954,0.023082952952,0.316079786601,-0.017932946376,0.079149509331,-0.033897682503,-0.188324581332
20.0,0.027766601736,0.071435039519,0.001949696594,-0.423170492975,0.068399091275,-0.354628161126,-0.129849032405
20.0,0.035699916518,0.352141357981,-0.593307188672,-3.446875353376,0.031785324227,-2.931537273501,0.011520682599
