# Aircraft: RC F16
# Date Generated: 2025-04-30 14:06:52
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,20.0,-5.0,-0.05995719259147923,-0.02066039693058397,0.201976776495524,0.011807160509057203,0.2811741156562662,0.011479197649093997
-30.0,20.0,0.0,-0.062221156610323694,-0.018463377357807953,0.201517994330943,0.010943576451956094,0.2800361352425904,0.009494725137548995
-30.0,20.0,5.0,-0.062455727728712836,-0.02910019638714101,0.16494279156088398,0.0192558835756693,0.222259609420685,0.015273250329592994
-30.0,20.0,10.0,-0.055045407890345205,-0.03388676363741,0.1782886255494881,0.015195540824134997,0.24240665985073628,0.018828118429778995
-30.0,20.0,15.0,-0.051030819609977705,-0.04607909979575603,0.18716970824332602,0.011514632476807,0.2541631086772304,0.024569542543199
-30.0,20.0,20.0,-0.05072748628114998,-0.047967139661117986,0.20278968201214997,0.010363629131986796,0.278012384248539,0.024681645850522016
-20.0,-20.0,-20.0,-0.04206809766502599,0.012593417163789977,0.15706394327997986,-0.011586049089283998,0.21731421544951401,-0.005560726593075993
-20.0,-20.0,-15.0,-0.0393442623289554,0.015439479474416984,0.14361367298720107,-0.012528110756781799,0.19811795368369298,-0.007656044034545978
-20.0,-20.0,-10.0,-0.03556331985002032,0.01931958683193402,0.13158055874716001,-0.014083400776874803,0.1802384190510028,-0.010581790176834
-20.0,-20.0,-5.0,-0.03405016404532852,0.01413786047703497,0.149893718977488,-0.008511205738797802,0.20921088333385868,-0.007780848260070999
-20.0,-20.0,0.0,-0.0355631466074127,0.012556000036614001,0.1505709677709895,-0.007839350194659499,0.2098999757066377,-0.006359364030753004
-20.0,-20.0,5.0,-0.03554413022164761,0.01988844304412002,0.124737617390899,-0.013900658357763704,0.1690091346798061,-0.010363373907377002
-20.0,-20.0,10.0,-0.02993903483091161,0.02344472423516497,0.135784203056715,-0.010844230039697204,0.1856759420265229,-0.013029238643407992
-20.0,-20.0,15.0,-0.02681194086369469,0.03230914265773399,0.143563690286578,-0.0080805124938019,0.19619298394234802,-0.017239317613715013
-20.0,-20.0,20.0,-0.026389739503650006,0.033717329496052995,0.15608422812550016,-0.007171171287500302,0.21537705543408703,-0.017366738781572993
-20.0,-10.0,-20.0,-0.0445507226704423,0.0057679682485100026,0.15545350161646,-0.0058859758749801,0.217690627958221,-0.0021939536415462035
-20.0,-10.0,-15.0,-0.04245460646995221,0.006895254245706001,0.1430117153765761,-0.006321055750005401,0.20024019480641897,-0.0030798060349749995
-20.0,-10.0,-10.0,-0.0402557884769874,0.008005447189258996,0.13478717389168704,-0.006525040588446801,0.18869587043315333,-0.0038774123687220913
-20.0,-10.0,-5.0,-0.0379163913805088,0.007926142874718989,0.13225837322091502,-0.0062090065066122,0.1851135967791182,-0.004065479310285197
-20.0,-10.0,0.0,-0.0367876315114458,0.008110668930042003,0.1294939444436275,-0.006165833964766481,0.18083965678724762,-0.0043197232250503995
-20.0,-10.0,5.0,-0.0353901891616489,0.008942330698406997,0.12950506905852605,-0.00608917888512116,0.1804444021942398,-0.004937097007902805
-20.0,-10.0,10.0,-0.033009060571603605,0.010877876156294014,0.13132377333451006,-0.0059932328808047,0.1824532324968177,-0.006148076878582195
-20.0,-10.0,15.0,-0.030814334627420302,0.011363221673671015,0.13802500005568796,-0.0053938654854149,0.19112026319083858,-0.006598162845031799
-20.0,-10.0,20.0,-0.0302818950861186,0.009342533806670994,0.1481395188825101,-0.005039343114756144,0.20444956695747302,-0.0057633103572529015
-20.0,0.0,-20.0,-0.0453512708426754,1.0568135575479445e-16,0.15403794561805007,7.574766488003997e-17,0.21648260977652403,-8.9803099624532e-17
-20.0,0.0,-15.0,-0.04319921124161442,-1.0593287199849683e-16,0.14175333840101612,1.1290483946535498e-16,0.19932805261717898,4.58081325448224e-17
-20.0,0.0,-10.0,-0.04127303471013578,9.574784366775701e-17,0.13368116654338202,-4.22538456450088e-17,0.1879923002071999,-5.74474628229541e-17
-20.0,0.0,-5.0,-0.039383504705954,-9.987401097778296e-18,0.128794039988636,7.2744341127963e-18,0.18097352529168212,-2.084647651272198e-18
-20.0,0.0,0.0,-0.035999077313418996,-4.0755004002021876e-17,0.1253941583673106,3.1953983018540217e-19,0.1757256098128409,4.9329754561925663e-17
-20.0,0.0,5.0,-0.033994009506374295,-7.4481561149015e-17,0.12591563157133595,1.44973783531361e-17,0.1761269476998115,4.998599046896995e-17
-20.0,0.0,10.0,-0.0331886025243312,-1.757821729544295e-17,0.12912923303938395,1.4271520534322984e-17,0.1800697520176911,5.1104109417853e-17
-20.0,0.0,15.0,-0.0324512494269341,-8.115565707844497e-17,0.13538709054647302,1.0196918272979095e-16,0.1880902469347309,5.469001492119699e-17
-20.0,0.0,20.0,-0.031915059087949796,-2.597022095207244e-16,0.1448777738373701,-2.1748176126887055e-17,0.20040532483462797,-2.4327601451479504e-16
-20.0,10.0,-20.0,-0.04455072267044309,-0.0057679682485100026,0.15545350161646,0.00588597587498,0.217690627958221,0.0021939536415461064
-20.0,10.0,-15.0,-0.04245460646995249,-0.006895254245706001,0.14301171537658508,0.006321055750005598,0.20024019480641803,0.003079806034975305
-20.0,10.0,-10.0,-0.0402557884769872,-0.008005447189257997,0.13478717389168704,0.006525040588446801,0.18869587043315322,0.0038774123687220913
-20.0,10.0,-5.0,-0.037916391380508896,-0.007926142874719988,0.13225837322091502,0.0062090065066122985,0.1851135967791186,0.0040654793102851
-20.0,10.0,0.0,-0.0367876315114455,-0.008110668930042003,0.12949394444363038,0.006165833964766301,0.18083965678724662,0.004319723225050205
-20.0,10.0,5.0,-0.035390189161648204,-0.008942330698406997,0.129505069058526,0.006089178885121119,0.1804444021942371,0.004937097007902805
-20.0,10.0,10.0,-0.03300906057160346,-0.010877876156294014,0.13132377333451206,0.00599323288080481,0.1824532324968144,0.006148076878582098
-20.0,10.0,15.0,-0.0308143346274189,-0.011363221673672014,0.13802500005568596,0.0053938654854151,0.1911202631908318,0.006598162845031605
-20.0,10.0,20.0,-0.030281895086116006,-0.009342533806670994,0.14813951888252008,0.005039343114756156,0.20444956695746802,0.0057633103572529015
-20.0,20.0,-20.0,-0.04206809766502399,-0.012593417163788978,0.15706394327997986,0.011586049089284102,0.21731421544951401,0.005560726593075993
-20.0,20.0,-15.0,-0.0393442623289557,-0.015439479474416984,0.14361367298720007,0.012528110756781702,0.19811795368368998,0.007656044034545978
-20.0,20.0,-10.0,-0.03556331985002037,-0.01931958683193502,0.131580558747161,0.014083400776874803,0.1802384190510039,0.010581790176834
-20.0,20.0,-5.0,-0.03405016404532873,-0.014137860477035968,0.14989371897748696,0.008511205738797906,0.20921088333385818,0.007780848260070999
-20.0,20.0,0.0,-0.0355631466074133,-0.012556000036615,0.1505709677709901,0.007839350194659499,0.2098999757066384,0.006359364030754003
-20.0,20.0,5.0,-0.03554413022164784,-0.01988844304412002,0.124737617390899,0.013900658357763697,0.16900913467980822,0.010363373907378001
-20.0,20.0,10.0,-0.02993903483091604,-0.023444724235163972,0.13578420305671401,0.010844230039697398,0.1856759420265322,0.013029238643406993
-20.0,20.0,15.0,-0.026811940863694407,-0.03230914265773599,0.143563690286587,0.008080512493801501,0.19619298394235402,0.017239317613715013
-20.0,20.0,20.0,-0.026389739503650977,-0.03371732949605499,0.15608422812550016,0.007171171287500097,0.21537705543409003,0.017366738781573993
-10.0,-20.0,-20.0,-0.015813692884039998,0.006241288427599967,0.08341894386719995,-0.006252564068254703,0.11550291905503302,-0.0026780418359449998
-10.0,-20.0,-15.0,-0.014387121268820899,0.007623593392403982,0.07703339292889211,-0.0067213570322448984,0.10645352463411298,-0.003714181108541992
-10.0,-20.0,-10.0,-0.012358202044333903,0.009600187296272988,0.07131941805489195,-0.007532215897322302,0.09797590060946682,-0.005221570615809995
-10.0,-20.0,-5.0,-0.01156113600104716,0.006948206395270995,0.08195015595368299,-0.004498516599243503,0.114736786421416,-0.003779227251289985
-10.0,-20.0,0.0,-0.012296178752974098,0.006125512977031955,0.08299580625140711,-0.004111572853735798,0.11613162467199489,-0.003038434840068008
-10.0,-20.0,5.0,-0.012128411161736508,0.009793421714852979,0.06969578595102999,-0.007366914132361603,0.0950261943537107,-0.005064095474695995
-10.0,-20.0,10.0,-0.008976995561341301,0.011759660267839978,0.07651691833752605,-0.0056632610278744035,0.10531457220879,-0.0065529623497709855
