# Aircraft: RC F16
# Date Generated: 2025-04-30 14:04:41
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,15.0,0.0015159938162452036,-0.05577002003124698,-0.008139038066909965,-0.012912362812214102,-0.012050115963111951,0.0340646661736823
-20.0,-20.0,20.0,-0.03624597952241698,-0.012158475989871076,0.02572827719934012,-0.003009959248484302,0.05375531069022599,0.011824378144459996
-20.0,-10.0,-20.0,-0.009614323376510997,-0.06891944559166599,0.004947850713520108,-0.01585649103217956,0.013096275374812005,0.0405436171035299
-20.0,-10.0,-15.0,-0.009068384985485303,-0.06375457217212299,0.0032690433731930035,-0.014938899567828021,0.010673388455948007,0.0382398527963015
-20.0,-10.0,-10.0,-0.00828103164277867,-0.05804561659534499,0.0017205689312520533,-0.013826372420071401,0.0082026480250032,0.035569845616697904
-20.0,-10.0,-5.0,-0.0074729171041646,-0.05214463953237801,0.000687017628169001,-0.012548731801759338,0.006291707995198001,0.0327283467177178
-20.0,-10.0,0.0,-0.006877823189136198,-0.045968549784942,-0.00013922581853539895,-0.01117738439450449,0.0045184971795161,0.0296792461319913
-20.0,-10.0,5.0,-0.006320800904564501,-0.03982610494075599,-0.0011331775154779788,-0.009768051260445639,0.0027473836275613006,0.026583636949625598
-20.0,-10.0,10.0,-0.005415372806050912,-0.03429156763213799,-0.0023164905547229386,-0.008446462163912961,0.00041796088319698277,0.0237294976777902
-20.0,-10.0,15.0,-0.000673773445430001,-0.03218565765622,-0.006652786641710096,-0.007694680866992801,-0.008292130205837023,0.022376145303197197
-20.0,-10.0,20.0,-0.0039058612568469986,-0.020071170918134,-0.005140441832969911,-0.005209213953776713,-0.004691885078765001,0.0165059885608935
-20.0,0.0,-20.0,-0.01105089511976401,-0.067497431611921,0.005698304615480154,-0.015608213405457826,0.014793955025203004,0.03989563890131479
-20.0,0.0,-15.0,-0.011026636286127302,-0.063036782986817,0.005242822312934048,-0.014707966638245428,0.014194148574924986,0.03773684678398784
-20.0,0.0,-10.0,-0.01095565024206599,-0.05444404874968993,0.004757039663555007,-0.01320407240152844,0.013548669342888203,0.034182237230950055
-20.0,0.0,-5.0,-0.0109313797560966,-0.051151423906337305,0.004329698225465001,-0.012182402834222473,0.012998319798711997,0.03211626214507104
-20.0,0.0,0.0,-0.010769350226920799,-0.0433220390271397,0.0038120901582850003,-0.010645390079430982,0.012261517205727303,0.0284545977192686
-20.0,0.0,5.0,-0.0106207151683839,-0.03812020476309911,0.0033559900526739517,-0.00933706020997523,0.011596183174921601,0.025685913127864803
-20.0,0.0,10.0,-0.010315981899346401,-0.03063681973300479,0.002867068081682911,-0.007906375440266657,0.010779800801063999,0.02213120252382098
-20.0,0.0,15.0,-0.010116930292002042,-0.028777164813313615,0.0028055481547499816,-0.007112056168365523,0.010564277465706984,0.020850430718859187
-20.0,0.0,20.0,-0.009539318237547098,-0.025780421649597287,0.0029670304950499826,-0.0064834083480946195,0.010422168961292,0.01930541309569519
-20.0,10.0,-20.0,-0.012431540885757986,-0.07288574999438,0.006586174301620007,-0.0167680170413454,0.016617653367142993,0.04253729009629341
-20.0,10.0,-15.0,-0.012940273448657294,-0.06779836290810598,0.0073685134025139876,-0.0158786506595353,0.017863297333119005,0.04027767437489371
-20.0,10.0,-10.0,-0.013659543468966782,-0.06214958992578298,0.008004130758412997,-0.014790501258331302,0.019147445227877202,0.037645798498956995
