# Aircraft: RC F16
# Date Generated: 2025-04-30 14:09:05
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,0.0,15.0,-0.0410686476831886,0.023320761962955586,-0.009325088376820112,0.0677096730587105,-0.0024702517267249924,-0.001809894225156302
-20.0,0.0,20.0,-0.041188365442533195,0.03500045961164791,-0.012852246812449897,0.0750601244935404,-0.00340384449640202,-0.005840245372645062
-20.0,10.0,-20.0,-0.027367075584598985,-0.04945947758470001,0.04645451022090996,0.0659992480503948,-0.029640664948167,0.01202538200009931
-20.0,10.0,-15.0,-0.028018409011483496,-0.046179953470984,0.04856504753386304,0.060807877899680896,-0.032884859793312,0.0127164825534615
-20.0,10.0,-10.0,-0.030318128362300203,-0.03951894202734102,0.046985055924636976,0.0569073480004217,-0.039035448879473,0.011991118338193996
-20.0,10.0,-5.0,-0.034104421510274,-0.029979975388158997,0.03595203459828497,0.054810749177503296,-0.0553033976473256,0.010002587375682798
-20.0,10.0,0.0,-0.0384466029941293,-0.018651512509892,0.013431138603817103,0.054005081348623196,-0.0708083196299662,0.007363760150064305
-20.0,10.0,5.0,-0.042999432674791,-0.00596888705000001,0.03294984572698895,0.0558398056254634,-0.050759747409003894,0.004139653311713801
-20.0,10.0,10.0,-0.04785784282204966,0.004391024714755998,0.03965181573372101,0.05913645033847213,-0.03292239428516702,0.001656166378143302
-20.0,10.0,15.0,-0.05173571317457218,0.013848178619891988,0.035908705137200014,0.06409714901112801,-0.026434276052809985,-4.596510035839718e-05
-20.0,10.0,20.0,-0.0543019003453668,0.015008879169147005,0.026503587478569957,0.06995428150120675,-0.024271550203060988,0.0011541856617569984
-20.0,20.0,-20.0,-0.0031934968010199904,-0.059216145325106995,0.07995376579318991,0.061620661185116096,-0.04532352300391801,0.016851652544496
-20.0,20.0,-15.0,-0.006817465425979094,-0.054243305553859034,0.0880369469544231,0.054336650208147264,-0.04983074134387391,0.016128188661317988
-20.0,20.0,-10.0,-0.013744351280432002,-0.044671877637162016,0.09193501848923602,0.048063032825421154,-0.05530563325221667,0.013296311271285999
-20.0,20.0,-5.0,-0.022874076855294728,-0.033182497299243996,0.07889926469838798,0.045964242513241396,-0.0809165615544178,0.009996146721695992
-20.0,20.0,0.0,-0.0329798231326284,-0.02092188691063296,0.09361692375109654,0.044711782117408894,-0.059841179812285594,0.006735340354592015
-20.0,20.0,5.0,-0.04364279334778754,-0.015573546073435973,0.09685994488469302,0.04576080812744702,-0.047398941336047995,0.006142145272510002
-20.0,20.0,10.0,-0.052657338681825,-0.02985065359248701,0.08658516216894008,0.0477040925624507,-0.05040155701481103,0.012933053850951004
-20.0,20.0,15.0,-0.03848338378129831,-0.24729573056860304,0.051061695398670004,0.02191751482383366,-0.08936126836970598,0.10328893726645201
-20.0,20.0,20.0,-0.134614320636993,0.323305842661735,0.26635127288516003,0.0941889873681892,0.19628702303235102,-0.1081070411748786
-10.0,-20.0,-20.0,-0.03686647495903399,-0.022665004186674997,-0.03211190946898013,0.0335194316321073,0.02867232600050401,0.008416608927343
-10.0,-20.0,-15.0,-0.034143019834990705,-0.020229546119147013,-0.03936004448463293,0.029507043613220207,0.03037795383095898,0.008111350092720016
